epoch,train_rec,train_idem,val_e@0.1,val_g@0.1,val_e@0.2,val_g@0.2,val_e@0.3,val_g@0.3,val_e@0.5,val_g@0.5,seconds
1,0.111866,,0.0702357,0.0233358,0.0716375,0.023587,0.0738513,0.0241904,0.0802662,0.0258919,41.6689
2,0.0642515,,0.0610499,0.0180351,0.0630882,0.0185154,0.0660818,0.0192953,0.0744938,0.0218169,111.407
3,0.0586846,,0.0555402,0.0158214,0.0579413,0.0165246,0.0615216,0.0176739,0.0712475,0.0208161,56.5325
4,0.0548673,,0.052125,0.0146518,0.0547894,0.0154977,0.0589131,0.0167772,0.0695328,0.0203183,197.553
5,0.0519709,,0.0496178,0.0154336,0.0524132,0.0162724,0.0568472,0.0176044,0.0683183,0.0212263,312.862
6,0.0497749,,0.0474368,0.0131645,0.0504705,0.0142029,0.0552112,0.0158462,0.0676375,0.020302,40.5938
7,0.0479835,,0.0457522,0.0120635,0.0489686,0.0132641,0.0539791,0.015098,0.0672765,0.0203037,43.138
8,0.0466761,,0.044796,0.0122621,0.0480525,0.0134662,0.0532501,0.0153592,0.0676165,0.020855,42.7646
9,0.045707,,0.0438666,0.0112962,0.0472415,0.0126425,0.0525301,0.0147466,0.0671979,0.0207902,42.0088
10,0.0449547,,0.0432264,0.0109278,0.0466501,0.0123372,0.0520664,0.0145434,0.0672762,0.0208456,40.3303
11,0.0444312,,0.042745,0.0109788,0.046258,0.0123984,0.0518231,0.0146171,0.0676221,0.0209771,43.4066
12,0.0439998,,0.0424291,0.0107782,0.0459576,0.0122282,0.0515412,0.0144996,0.0673718,0.0209496,42.4876
13,0.0437719,,0.0422442,0.0106562,0.0458124,0.0121288,0.0514627,0.0144228,0.0674809,0.0209478,41.6359
14,0.043647,,0.0421499,0.0105446,0.0457261,0.0120349,0.0513898,0.0143502,0.0674141,0.0209182,39.6586
15,0.0435791,,0.0421258,0.0105472,0.045715,0.0120351,0.0513939,0.0143523,0.067469,0.0209172,39.8881
