epoch,train_rec,train_idem,val_e@0.1,val_g@0.1,val_e@0.2,val_g@0.2,val_e@0.3,val_g@0.3,val_e@0.5,val_g@0.5,seconds
1,0.113361,,0.0708489,0.0255813,0.0717793,0.0259447,0.0734705,0.0264788,0.0795793,0.0283283,41.1524
2,0.0652539,,0.0610999,0.0173753,0.0632268,0.0180046,0.0667453,0.0191168,0.077008,0.0222559,41.1989
3,0.0600155,,0.057788,0.0183404,0.0598586,0.019048,0.0633337,0.0201891,0.0736097,0.0237285,39.1768
4,0.0562789,,0.0534368,0.0150184,0.0560486,0.0158233,0.0601599,0.0171636,0.0716198,0.0211995,46.0273
5,0.0532335,,0.0512044,0.0154488,0.0539861,0.0162305,0.0583002,0.0175797,0.0704613,0.021715,44.9419
6,0.050797,,0.0481971,0.012838,0.0511845,0.0138695,0.0557916,0.0155474,0.0694674,0.021092,43.0513
7,0.0488246,,0.0467189,0.0125836,0.0498486,0.0136712,0.0547355,0.0155222,0.0704902,0.022192,40.2505
8,0.0474902,,0.0455201,0.0121022,0.0487563,0.0132819,0.0538009,0.0152743,0.0706466,0.022554,42.8634
9,0.0464483,,0.0446608,0.0115454,0.0479707,0.0128507,0.0531402,0.014997,0.0702519,0.0225603,42.5287
10,0.0456817,,0.0439473,0.0114837,0.0473759,0.0128016,0.0527862,0.0149812,0.0711484,0.0226998,42.3875
11,0.0451097,,0.0435674,0.0114321,0.0470461,0.012751,0.0525506,0.0149728,0.0711306,0.0228813,46.7697
12,0.0447239,,0.0431775,0.0109146,0.0466836,0.0123276,0.0522161,0.0146483,0.0713872,0.0228144,62.6504
13,0.044497,,0.0429841,0.0107652,0.046522,0.012186,0.0520775,0.0145199,0.0712716,0.0227095,271.543
14,0.0443683,,0.0428886,0.0106987,0.0464297,0.0121441,0.0519875,0.0145128,0.0710895,0.0228024,66.4595
15,0.0442917,,0.0428709,0.0106403,0.0464164,0.012093,0.0519799,0.0144644,0.0710835,0.022752,166.363
