epoch,lambda,train_rec,train_idem,val_e@0.1,val_g@0.1,val_e@0.2,val_g@0.2,val_e@0.3,val_g@0.3,val_e@0.5,val_g@0.5,seconds
1,0.019907,0.110287,0.0219572,0.0668495,0.0177587,0.0683755,0.0181285,0.0708896,0.0188291,0.0778,0.0208237,416.913
2,0.039907,0.0632975,0.0179721,0.0589745,0.0149566,0.0610182,0.0154959,0.0641774,0.0163913,0.0728437,0.0189531,588.266
3,0.059907,0.0577209,0.0154502,0.0545224,0.0148405,0.0569553,0.0155379,0.0606985,0.0165401,0.0706627,0.0194996,533.305
4,0.079907,0.0537459,0.0137086,0.0508464,0.0119676,0.053501,0.0129088,0.0577639,0.0143085,0.0692152,0.0182901,511.091
5,0.099907,0.0508963,0.0127421,0.0483845,0.0114314,0.0512708,0.012516,0.0558909,0.0141503,0.0688531,0.018836,342.067
6,0.1,0.0489378,0.0122459,0.046674,0.0112613,0.0497438,0.012416,0.0546076,0.0142115,0.0685763,0.0194797,321.405
7,0.1,0.0473116,0.0115458,0.0453795,0.0108811,0.0485436,0.0121251,0.0535681,0.0140062,0.0682098,0.0196548,310.637
8,0.1,0.0461355,0.0111466,0.0443024,0.010539,0.047599,0.0118153,0.0527965,0.0137849,0.068127,0.0196318,845.548
9,0.1,0.0452699,0.0109484,0.0436869,0.0103667,0.0469773,0.0116868,0.0521683,0.0137323,0.067489,0.0197884,542.007
10,0.1,0.0446313,0.0106838,0.0429235,0.0100533,0.046346,0.0114371,0.0517204,0.01358,0.0675988,0.0198372,529.307
11,0.1,0.0441504,0.0104805,0.0425603,0.00988628,0.046054,0.0112922,0.0514831,0.0134722,0.0674668,0.019804,525.742
12,0.1,0.0437966,0.0103055,0.042287,0.00971795,0.0458061,0.0111516,0.0512432,0.0133816,0.0672251,0.0197972,393.105
13,0.1,0.0435941,0.0102019,0.0420712,0.00962255,0.045661,0.0110728,0.0511903,0.013324,0.0674223,0.0197437,215.094
14,0.1,0.0434685,0.0101062,0.04201,0.0095402,0.0455929,0.0110056,0.0511186,0.0132716,0.0673459,0.019727,198.458
15,0.1,0.0434136,0.0100563,0.0419892,0.00953981,0.045582,0.0110037,0.0511203,0.0132659,0.0673684,0.0197165,197.706
