epoch,lambda,train_rec,train_idem,val_e@0.1,val_g@0.1,val_e@0.2,val_g@0.2,val_e@0.3,val_g@0.3,val_e@0.5,val_g@0.5,seconds
1,0.19907,0.0753684,0.0253457,0.0338466,0.0147532,0.0450153,0.0192983,0.0591979,0.0252004,0.0944093,0.0379871,470.998
2,0.39907,0.0375889,0.0162297,0.0302452,0.0129508,0.0418428,0.0178807,0.0570085,0.024246,0.0961595,0.0374258,331.211
3,0.59907,0.0352897,0.0148738,0.0290625,0.0116766,0.0396462,0.0162384,0.0543258,0.022805,0.0949056,0.0373614,353.197
4,0.79907,0.0340419,0.0130716,0.0284328,0.0102544,0.0386406,0.0139226,0.0523585,0.0195737,0.0924111,0.0339375,371.108
5,0.99907,0.0334906,0.0114351,0.0279045,0.00909504,0.0384084,0.011327,0.0505736,0.0145008,0.0852593,0.0243828,366.643
6,1,0.0330743,0.00946536,0.0275175,0.00822144,0.0381717,0.00939259,0.0496943,0.0113902,0.0838836,0.0189333,428.996
7,1,0.0325414,0.00817384,0.0271492,0.00748387,0.0376708,0.00788167,0.0489157,0.00928735,0.0847429,0.0164815,568.176
8,1,0.0321076,0.00729256,0.0267098,0.00673559,0.0372911,0.00709866,0.0486981,0.00880224,0.0872053,0.0180276,506.931
9,1,0.0318011,0.00668561,0.0264899,0.0064111,0.0369982,0.00656956,0.0486684,0.00802747,0.0887236,0.0173715,351.476
10,1,0.0316025,0.00625111,0.0263936,0.00603479,0.0368269,0.00610106,0.0484056,0.00754631,0.0887542,0.0169198,344.913
11,1,0.0314403,0.00595358,0.0262911,0.00581472,0.0367076,0.00585131,0.0482662,0.00730666,0.0888311,0.0168473,321.998
12,1,0.0313066,0.00576672,0.0262234,0.00568475,0.0366125,0.00570982,0.048227,0.00716177,0.0891145,0.0167801,319.682
13,1,0.0313113,0.00565223,0.02615,0.00564202,0.0365603,0.00562346,0.0482658,0.007107,0.0893218,0.0167104,317.884
14,1,0.0312252,0.00559407,0.0261601,0.00559748,0.0365449,0.00557004,0.0481921,0.00701484,0.0891596,0.0165039,330.355
15,1,0.0312334,0.00556933,0.0261552,0.0055945,0.0365404,0.00556705,0.0481959,0.00701486,0.0891469,0.0164929,345.749
