epoch,lambda,train_rec,train_idem,val_e@0.1,val_g@0.1,val_e@0.2,val_g@0.2,val_e@0.3,val_g@0.3,val_e@0.5,val_g@0.5,seconds
1,0.19907,0.123211,0.0182671,0.0713305,0.0121632,0.0729754,0.0126623,0.0757146,0.0135429,0.0852775,0.0165488,1142.35
2,0.39907,0.0673703,0.0132393,0.0629004,0.0125584,0.0648838,0.0130911,0.0681621,0.0139555,0.0799331,0.0173291,319.563
3,0.59907,0.0622434,0.0114316,0.0610904,0.0118563,0.0628761,0.0125442,0.0659415,0.0136043,0.0773048,0.0175101,305.876
4,0.79907,0.0594759,0.00991403,0.0575915,0.0090641,0.0597923,0.009773,0.0632467,0.0108717,0.0750364,0.0147889,392.867
5,0.99907,0.0577169,0.00905943,0.0560376,0.00824147,0.0584862,0.00886009,0.0622373,0.00983189,0.0744253,0.0133845,474.547
6,1,0.0564155,0.00809596,0.0553771,0.00911334,0.0573626,0.00963175,0.0604738,0.0104443,0.0711449,0.0135685,553.402
7,1,0.0553498,0.00727277,0.0541469,0.00659367,0.0563292,0.00732045,0.0597484,0.00837578,0.0711264,0.0119953,496.134
8,1,0.054563,0.00693195,0.0534334,0.00662356,0.0557015,0.0072791,0.0592067,0.00827549,0.0708333,0.0117313,487.127
9,1,0.0539715,0.00654043,0.0530054,0.00619103,0.0552713,0.00688192,0.058809,0.00793541,0.0704556,0.0114952,821.603
10,1,0.0535472,0.00635093,0.0525817,0.00609027,0.0549305,0.00676507,0.0585512,0.00781043,0.0704863,0.0113067,463.97
11,1,0.0532432,0.00615644,0.0523557,0.0059184,0.0546618,0.00661007,0.058263,0.00767626,0.0701005,0.0111628,929.087
12,1,0.053026,0.00603031,0.0521708,0.00581421,0.0545026,0.00650253,0.0581233,0.00757218,0.0700345,0.0110479,437.595
13,1,0.0528905,0.00595832,0.05206,0.00573701,0.0544154,0.00642925,0.058076,0.00750428,0.0700321,0.0109657,244.258
14,1,0.0528045,0.00589443,0.0520144,0.00571084,0.054371,0.00640697,0.0580346,0.00748556,0.0700142,0.0109475,249.251
15,1,0.0527735,0.00586157,0.0520069,0.00570033,0.054364,0.00639891,0.0580252,0.00747832,0.0700007,0.0109423,216.054
