epoch,lambda,train_rec,train_idem,val_e@0.1,val_g@0.1,val_e@0.2,val_g@0.2,val_e@0.3,val_g@0.3,val_e@0.5,val_g@0.5,seconds
1,0.019907,0.122529,0.0200287,0.0709778,0.0220299,0.0723592,0.0222429,0.0746351,0.0225985,0.0831544,0.0242736,122.399
2,0.039907,0.0656892,0.0166138,0.0610169,0.0164197,0.0632342,0.0169264,0.0667873,0.0177285,0.0792928,0.0209231,112.984
3,0.059907,0.059744,0.0149843,0.0570979,0.0168356,0.0592802,0.0172873,0.0628888,0.0180167,0.0757143,0.0210475,110.432
4,0.079907,0.0560752,0.0137607,0.0536946,0.0141462,0.055923,0.0147398,0.0595823,0.015738,0.0722514,0.019454,110.802
5,0.099907,0.0533131,0.0128173,0.051179,0.0119124,0.0539723,0.0127508,0.0584005,0.0140621,0.0724569,0.0184884,107.336
6,0.1,0.0512186,0.0120804,0.0492064,0.0115918,0.0520089,0.0124919,0.0563806,0.013954,0.070495,0.0187256,102.435
7,0.1,0.0496882,0.0116846,0.0478881,0.0107999,0.0507644,0.0118277,0.0553167,0.0135154,0.0700546,0.0187392,103.727
8,0.1,0.0485188,0.0112645,0.0468442,0.0105186,0.0499207,0.0115726,0.0547172,0.0133086,0.070409,0.0187495,103.927
9,0.1,0.0476478,0.0109821,0.0460379,0.0101319,0.0491169,0.0112438,0.0539042,0.0131021,0.0698638,0.0189173,102.328
10,0.1,0.0469802,0.0106584,0.0454188,0.0098512,0.0486464,0.0110268,0.0536146,0.0129706,0.0705273,0.0189341,103.681
11,0.1,0.0465056,0.0104085,0.045012,0.00981902,0.0482773,0.0110199,0.0532957,0.0130079,0.070435,0.0190555,103.135
12,0.1,0.0461724,0.0102386,0.0447606,0.00975339,0.0480668,0.0109766,0.0531786,0.0130033,0.0707472,0.0190831,103.381
13,0.1,0.0459452,0.0101028,0.044567,0.00954903,0.0479137,0.0108011,0.0530671,0.0128453,0.0708078,0.0189998,106.429
14,0.1,0.0457957,0.0100022,0.0444884,0.00950846,0.0478384,0.0107758,0.0529815,0.0128318,0.0706531,0.0190268,104.46
15,0.1,0.0457312,0.00993711,0.0444693,0.00947758,0.0478298,0.0107501,0.052982,0.0128116,0.070697,0.0190081,105.657
