epoch,lambda,train_rec,train_idem,val_e@0.1,val_g@0.1,val_e@0.2,val_g@0.2,val_e@0.3,val_g@0.3,val_e@0.5,val_g@0.5,seconds
1,0,0.0753281,,0.0337277,0.0151193,0.0448616,0.0196757,0.0590676,0.0255998,0.0945712,0.0385678,417.914
2,0,0.0374781,,0.0302354,0.0142465,0.0417822,0.0192211,0.0573526,0.0258461,0.0982315,0.0395181,383.691
3,0,0.0349652,,0.0282414,0.0130383,0.0394265,0.0184886,0.0558325,0.0262793,0.100907,0.0417592,357.858
4,0,0.0334601,,0.0271975,0.012315,0.0383032,0.0177218,0.0552478,0.0259112,0.102108,0.0416355,321.08
5,0,0.0326093,,0.0268589,0.0121861,0.0373586,0.0174269,0.0539762,0.0259285,0.101266,0.0426035,321.396
6,0,0.0320595,,0.0262173,0.0117766,0.0370481,0.0171057,0.054097,0.0257259,0.10141,0.0419038,314.543
7,0,0.0316577,,0.0259819,0.0114106,0.0365767,0.0167222,0.0534696,0.025463,0.100705,0.0418031,335.537
8,0,0.031315,,0.0254006,0.01133,0.0367205,0.0168712,0.054398,0.0256943,0.101757,0.0409155,342.155
9,0,0.0310659,,0.0255754,0.0113645,0.0361058,0.0165617,0.0528315,0.0252947,0.0992765,0.0412531,397.164
10,0,0.0308946,,0.0253082,0.0111406,0.0360615,0.0163474,0.0526933,0.0248039,0.0980207,0.0401594,330.879
11,0,0.0307671,,0.0252418,0.0110015,0.0358581,0.0161095,0.0521807,0.0244413,0.0969005,0.0397111,305.552
12,0,0.0306259,,0.0252031,0.0110322,0.0357771,0.0160555,0.0519333,0.0242907,0.0961678,0.0393506,296.152
13,0,0.0306373,,0.0250569,0.0108457,0.0358114,0.0158862,0.0520653,0.0240041,0.0961247,0.0386403,301.941
14,0,0.0305406,,0.0250607,0.0108461,0.0357729,0.0158516,0.0518979,0.023914,0.0956988,0.0386155,291.866
15,0,0.0305385,,0.0250568,0.0108143,0.0357693,0.0158206,0.0518887,0.0238669,0.0956509,0.0385367,253.29
