epoch,lambda,train_rec,train_idem,val_e@0.1,val_g@0.1,val_e@0.2,val_g@0.2,val_e@0.3,val_g@0.3,val_e@0.5,val_g@0.5,seconds
1,0,0.0714462,,0.0318917,0.0144201,0.0437901,0.019244,0.0593246,0.0253242,0.0982282,0.0374975,352.903
2,0,0.036435,,0.0292846,0.0135094,0.0408083,0.0187574,0.0572035,0.0257709,0.101042,0.0394127,340.385
3,0,0.0343101,,0.027866,0.0128369,0.038791,0.018198,0.0555545,0.0261852,0.102077,0.0417112,331.766
4,0,0.0330346,,0.0268127,0.0120287,0.0380764,0.0174947,0.0558595,0.0260373,0.104678,0.0416969,313.953
5,0,0.0323159,,0.0263691,0.0116736,0.0371166,0.0170938,0.0546161,0.0261459,0.104186,0.0433675,317.48
6,0,0.0317455,,0.0261405,0.0121495,0.0367069,0.017527,0.0542515,0.0270177,0.104381,0.0450942,298.312
7,0,0.031355,,0.0257036,0.0113568,0.036193,0.0167611,0.0535493,0.0261518,0.103272,0.0442205,295.801
8,0,0.0309881,,0.0254636,0.0114414,0.036061,0.0168626,0.0535211,0.0263269,0.103036,0.0442075,319.093
9,0,0.030809,,0.025447,0.0112948,0.0357089,0.0165462,0.052559,0.0257893,0.100873,0.0436749,322.142
10,0,0.030645,,0.0249665,0.0108931,0.0359724,0.0162095,0.0534596,0.0250655,0.101265,0.0411943,342.951
11,0,0.0305233,,0.0249926,0.010749,0.0356146,0.0159682,0.0524224,0.0247889,0.099391,0.0414869,304.458
12,0,0.0304629,,0.0249279,0.0107091,0.0355413,0.0158806,0.0521571,0.0245064,0.0981229,0.0406515,289.166
13,0,0.0303791,,0.0248244,0.0106691,0.0355807,0.0158106,0.0522359,0.0242943,0.0979729,0.0400065,284.036
14,0,0.0303585,,0.0248934,0.0106646,0.0354638,0.0157701,0.0518456,0.0242562,0.0971571,0.0402178,286.282
15,0,0.0303254,,0.024854,0.0106654,0.0354959,0.0157905,0.0519719,0.0242792,0.0973791,0.0400829,284.557
