epoch,lambda,train_rec,train_idem,val_e@0.1,val_g@0.1,val_e@0.2,val_g@0.2,val_e@0.3,val_g@0.3,val_e@0.5,val_g@0.5,seconds
1,0.19907,0.123289,0.0183018,0.0714123,0.0121482,0.0732067,0.0126448,0.0762912,0.0135428,0.0867704,0.0166596,283.966
2,0.39907,0.067411,0.0135875,0.0632298,0.0124859,0.0659948,0.0130644,0.0703841,0.0140634,0.0849624,0.0183342,269.477
3,0.59907,0.0622359,0.0122854,0.0589592,0.00932382,0.0617194,0.0103381,0.0659882,0.0118246,0.0801034,0.0170949,264.716
4,0.79907,0.0591359,0.0106813,0.0566167,0.00982475,0.0597357,0.010775,0.0644164,0.0121192,0.0792164,0.0171199,263.531
5,0.99907,0.0569756,0.00996182,0.0544887,0.00853425,0.0577004,0.00964115,0.0625463,0.0112521,0.0774684,0.0166557,265.032
6,1,0.0553398,0.00932512,0.0530956,0.00854707,0.0563571,0.00961335,0.0611616,0.0111656,0.0756478,0.0160928,266.868
7,1,0.0539037,0.00850705,0.0518232,0.00776196,0.0553348,0.00895424,0.0604769,0.0106428,0.0755059,0.0156167,267.329
8,1,0.0527528,0.00822944,0.0507542,0.00800188,0.0543791,0.00915173,0.0595873,0.0108012,0.0747693,0.0156334,267.613
9,1,0.0519227,0.00818642,0.049933,0.00751493,0.0536821,0.00880429,0.0590761,0.0105901,0.0746643,0.0156638,268.325
10,1,0.0512802,0.00798582,0.0493672,0.00737448,0.053232,0.00871359,0.0587653,0.0105627,0.0746749,0.0156989,267.133
11,1,0.0508487,0.00785847,0.0489871,0.00727486,0.0529277,0.00864295,0.0585226,0.0105377,0.0745506,0.0157534,266.999
12,1,0.050546,0.0077523,0.0487294,0.00717596,0.0527348,0.00858105,0.0584178,0.0105037,0.0746982,0.0157618,267.838
13,1,0.0503796,0.00767729,0.0485653,0.00711008,0.052627,0.00852825,0.058389,0.0104653,0.0748157,0.0157429,267.375
14,1,0.0502534,0.00763083,0.0484838,0.00708053,0.0525616,0.00851298,0.0583352,0.0104604,0.0747988,0.015757,269.03
15,1,0.0502051,0.00759329,0.0484787,0.00705939,0.0525565,0.00849673,0.0583305,0.0104513,0.0748015,0.0157571,264.684
