epoch,lambda,train_rec,train_idem,val_e@0.1,val_g@0.1,val_e@0.2,val_g@0.2,val_e@0.3,val_g@0.3,val_e@0.5,val_g@0.5,seconds
1,0.19907,0.0737932,0.0249912,0.0329158,0.0147265,0.0445881,0.0194354,0.0596989,0.0257978,0.0986854,0.0405753,419.309
2,0.39907,0.0372051,0.0161816,0.0308527,0.0146021,0.0417917,0.0192754,0.0570629,0.0261288,0.0992928,0.0417483,326.213
3,0.59907,0.0350733,0.0147452,0.0291388,0.0122889,0.0395005,0.0167311,0.0546305,0.0237167,0.0981379,0.0399793,349.531
4,0.79907,0.0339649,0.0133361,0.0284514,0.0106372,0.0386603,0.0146243,0.0534672,0.0211593,0.0971056,0.037189,372.591
5,0.99907,0.0333983,0.0122468,0.0281147,0.00970385,0.0380292,0.0131842,0.0517303,0.0190011,0.0940821,0.0349995,370.908
6,1,0.0329954,0.0108291,0.0274938,0.00875141,0.0379346,0.0107749,0.0505331,0.0143055,0.0916857,0.0279147,372.268
7,1,0.0325904,0.00918124,0.027072,0.00793525,0.0375775,0.00897221,0.0497752,0.0115653,0.0930034,0.0251332,891.538
8,1,0.0321965,0.00805717,0.0267489,0.00738371,0.0372064,0.00799375,0.0498063,0.010443,0.0953838,0.0238545,481.947
9,1,0.0318731,0.00731221,0.0265509,0.00693087,0.0370059,0.00744141,0.0495561,0.00998062,0.0944731,0.0226502,343.188
10,1,0.0316835,0.00681895,0.0264279,0.00646972,0.0368581,0.00679466,0.0493841,0.00902474,0.0938569,0.0206067,332.191
11,1,0.0315045,0.00647719,0.0263406,0.00633905,0.0367178,0.00651023,0.0493687,0.00852008,0.0940129,0.0190591,317.772
12,1,0.0314229,0.00625057,0.0263059,0.00605961,0.0366781,0.00625731,0.0489689,0.00825405,0.0926418,0.0185034,318.053
13,1,0.0313495,0.00612441,0.0262902,0.00597507,0.0366511,0.00613006,0.0488927,0.00807158,0.0924667,0.0180403,315.916
14,1,0.0313472,0.00605296,0.0262604,0.00597391,0.0366231,0.00609468,0.0489285,0.0079863,0.0925461,0.0177181,344.513
15,1,0.0313484,0.00603196,0.0262356,0.00596619,0.0366151,0.00610481,0.0489599,0.00803884,0.0926689,0.0178272,263.006
