epoch,lambda,train_rec,train_idem,val_e@0.1,val_g@0.1,val_e@0.2,val_g@0.2,val_e@0.3,val_g@0.3,val_e@0.5,val_g@0.5,seconds
1,0.19907,0.122717,0.0205708,0.0721507,0.0241133,0.0733053,0.0243014,0.0752096,0.024658,0.0822832,0.0261102,266.482
2,0.39907,0.0661386,0.0166481,0.0615928,0.0140877,0.0635647,0.014643,0.0668792,0.0154863,0.0791019,0.0186567,242.076
3,0.59907,0.0607854,0.0156214,0.0584287,0.0142081,0.0601611,0.0146856,0.0632727,0.0155474,0.0753155,0.0187739,244.64
4,0.79907,0.0582188,0.0144852,0.0570103,0.0136756,0.0591096,0.0141371,0.0626586,0.0149457,0.0755592,0.018502,240.944
5,0.99907,0.0574813,0.0140202,0.0575186,0.0149629,0.05864,0.0153821,0.0609064,0.0162219,0.0710038,0.0200113,239.63
6,1,0.0574569,0.0138852,0.0566169,0.0122708,0.0580401,0.0128686,0.0606976,0.0140412,0.0711929,0.0185777,240.015
7,1,0.0566749,0.013139,0.0558221,0.0127642,0.057106,0.0133293,0.0594978,0.0143793,0.0691803,0.0185906,240.631
8,1,0.0556752,0.0127427,0.0550648,0.0127479,0.0564756,0.0132643,0.0590564,0.0142241,0.0688403,0.0181597,241.014
9,1,0.0552289,0.0121919,0.0551273,0.0117342,0.0564814,0.0123392,0.0590217,0.013478,0.0684499,0.0177789,244.013
10,1,0.0549191,0.0118904,0.0547677,0.0114135,0.0561528,0.0119976,0.0586343,0.0131448,0.0679229,0.0174325,243.626
11,1,0.0546861,0.0115003,0.0546008,0.0119463,0.0559438,0.012525,0.0583475,0.0135736,0.0674329,0.0177326,244.046
12,1,0.0544965,0.0112392,0.0542844,0.0111418,0.0556964,0.0117368,0.0582055,0.0128662,0.0675611,0.0171292,243.917
13,1,0.0543103,0.010996,0.0540608,0.0107213,0.0554716,0.0113313,0.0580457,0.0124845,0.0675001,0.016847,243.368
14,1,0.0542255,0.0108427,0.0540362,0.0106369,0.0554401,0.0112541,0.0579803,0.0124143,0.067328,0.0168029,244.761
15,1,0.0541976,0.0107648,0.0540465,0.0106734,0.0554564,0.0112901,0.0579914,0.0124521,0.0673542,0.0168333,264.542
