epoch,lambda,train_rec,train_idem,val_e@0.1,val_g@0.1,val_e@0.2,val_g@0.2,val_e@0.3,val_g@0.3,val_e@0.5,val_g@0.5,seconds
1,0.19907,0.115624,0.0230419,0.0696295,0.0218107,0.0706362,0.0221585,0.072522,0.0228216,0.0791134,0.0247718,265.157
2,0.39907,0.0657652,0.0194616,0.0625452,0.0164701,0.0642996,0.0169865,0.0672704,0.0179437,0.0762136,0.0206979,240.475
3,0.59907,0.0617129,0.0177792,0.0598864,0.0176669,0.0614098,0.0183587,0.0640726,0.0194781,0.072404,0.0227668,243.695
4,0.79907,0.0596204,0.0165201,0.0580206,0.0158867,0.0597197,0.0164963,0.0626154,0.0175582,0.071404,0.0208704,238.926
5,0.99907,0.0585607,0.0159134,0.05826,0.0164985,0.0596297,0.0170448,0.0620284,0.017935,0.0697716,0.0214293,239.071
6,1,0.0577261,0.0152754,0.0570372,0.0154426,0.0584321,0.0159272,0.0608593,0.0168035,0.0693124,0.0207738,237.51
7,1,0.0562161,0.0142977,0.0553984,0.0137836,0.056802,0.0143081,0.0592945,0.0151933,0.0682235,0.0191187,237.895
8,1,0.0551285,0.0134822,0.0543435,0.0128459,0.0557743,0.0133497,0.0583921,0.0142408,0.0680362,0.0181489,240.484
9,1,0.0543033,0.0127117,0.0542946,0.0131675,0.0557952,0.0136299,0.0585053,0.0144691,0.0687022,0.0182066,241.925
10,1,0.0536811,0.0120655,0.053192,0.0115089,0.0546296,0.0120751,0.0572474,0.0131036,0.0671421,0.0173608,242.304
11,1,0.0531799,0.0115033,0.0528468,0.0111407,0.0543056,0.0117056,0.0569052,0.01272,0.0670639,0.0170576,241.883
12,1,0.0530926,0.0112602,0.052924,0.0114042,0.054391,0.0119357,0.057061,0.0129104,0.067512,0.0171185,242.494
13,1,0.0529989,0.0110105,0.0528162,0.0108391,0.0542846,0.0114024,0.0569285,0.0124307,0.0671883,0.0168193,241.408
14,1,0.0529992,0.0108667,0.0528377,0.0108568,0.0543065,0.0114149,0.0569494,0.0124404,0.06726,0.0168615,241.522
15,1,0.052982,0.0108098,0.0527941,0.0107373,0.0542571,0.0113118,0.0568951,0.0123629,0.0671617,0.0168409,266.221
