epoch,lambda,train_rec,train_idem,val_e@0.1,val_g@0.1,val_e@0.2,val_g@0.2,val_e@0.3,val_g@0.3,val_e@0.5,val_g@0.5,seconds
1,1,0.290893,0.000418747,0.288497,1.51395e-10,0.288497,1.60351e-10,0.288497,1.72781e-10,0.288497,2.10013e-10,158.395
2,1,0.285809,1.53423e-10,0.288497,1.50929e-10,0.288497,1.59858e-10,0.288497,1.72253e-10,0.288497,2.09379e-10,151.184
3,1,0.28582,1.52714e-10,0.288497,1.5031e-10,0.288497,1.59206e-10,0.288497,1.71555e-10,0.288497,2.08539e-10,153.819
4,1,0.285825,1.52184e-10,0.288497,1.49586e-10,0.288497,1.58442e-10,0.288497,1.70736e-10,0.288497,2.07554e-10,348.128
5,1,0.28581,1.51561e-10,0.288497,1.48799e-10,0.288497,1.57613e-10,0.288497,1.69847e-10,0.288497,2.06485e-10,552.763
6,1,0.285812,1.50557e-10,0.288497,1.47988e-10,0.288497,1.56757e-10,0.288497,1.68929e-10,0.288497,2.05381e-10,299.387
7,1,0.285812,1.49729e-10,0.288497,1.47188e-10,0.288497,1.55912e-10,0.288497,1.68024e-10,0.288497,2.04293e-10,678.887
8,1,0.285824,1.4905e-10,0.288497,1.46437e-10,0.288497,1.55121e-10,0.288497,1.67175e-10,0.288497,2.03272e-10,403.781
9,1,0.285812,1.48314e-10,0.288497,1.45768e-10,0.288497,1.54415e-10,0.288497,1.66419e-10,0.288497,2.02363e-10,399.2
10,1,0.285814,1.47536e-10,0.288497,1.45207e-10,0.288497,1.53824e-10,0.288497,1.65785e-10,0.288497,2.01601e-10,403.227
11,1,0.285825,1.47107e-10,0.288497,1.44777e-10,0.288497,1.5337e-10,0.288497,1.65298e-10,0.288497,2.01016e-10,407.232
12,1,0.285812,1.46841e-10,0.288497,1.44479e-10,0.288497,1.53056e-10,0.288497,1.64961e-10,0.288497,2.00611e-10,411.444
13,1,0.285813,1.4659e-10,0.288497,1.44313e-10,0.288497,1.5288e-10,0.288497,1.64774e-10,0.288497,2.00387e-10,337.887
14,1,0.285811,1.46429e-10,0.288497,1.44258e-10,0.288497,1.52823e-10,0.288497,1.64713e-10,0.288497,2.00313e-10,262.019
15,1,0.285825,1.46344e-10,0.288497,1.44254e-10,0.288497,1.52819e-10,0.288497,1.64708e-10,0.288497,2.00308e-10,310.081
