epoch,lambda,train_rec,train_idem,val_e@0.1,val_g@0.1,val_e@0.2,val_g@0.2,val_e@0.3,val_g@0.3,val_e@0.5,val_g@0.5,seconds
1,0.19907,0.115246,0.0206114,0.0696791,0.0152693,0.0710503,0.015681,0.0733939,0.0163806,0.0805418,0.0184355,283.459
2,0.39907,0.0669307,0.0157934,0.0630883,0.0124443,0.064958,0.0129964,0.0679602,0.0138469,0.0759532,0.0162875,269.64
3,0.59907,0.0623684,0.0130848,0.0603359,0.013886,0.0624513,0.0143143,0.0658229,0.0149603,0.0750149,0.0174532,265.334
4,0.79907,0.0594614,0.0115413,0.0571868,0.0106765,0.059754,0.0113301,0.0637899,0.012267,0.0800719,0.0195035,263.707
5,0.99907,0.0570776,0.0108203,0.0548043,0.00926971,0.0576763,0.0102137,0.0622159,0.0115517,0.09778,0.0284486,264.767
6,1,0.0549625,0.00972162,0.0526631,0.00933617,0.0558803,0.0103099,0.0611452,0.011772,0.110898,0.0325608,267.745
7,1,0.0533072,0.00907749,0.0510649,0.00826149,0.0545844,0.00948619,0.0602805,0.011236,0.120157,0.034587,266.63
8,1,0.0520378,0.00873081,0.0499453,0.00865521,0.0537424,0.00984578,0.0595338,0.0116861,0.121433,0.0356277,266.712
9,1,0.0510738,0.00839639,0.048844,0.00765958,0.0528837,0.00900358,0.0592279,0.0110738,0.127379,0.0360105,269.166
10,1,0.0503836,0.0081332,0.0482894,0.00753016,0.0524195,0.00891887,0.0589399,0.0110399,0.127403,0.0350607,267.942
11,1,0.04985,0.00799966,0.0477617,0.0073329,0.0520034,0.00878424,0.0585649,0.0109558,0.12402,0.0341447,268.238
12,1,0.0494968,0.00790652,0.047438,0.00730432,0.0517493,0.00876303,0.0584509,0.0109654,0.125555,0.0342431,268.594
13,1,0.0492586,0.00784619,0.0472494,0.00725631,0.0516355,0.00873574,0.0583852,0.0109681,0.12462,0.0340338,268.305
14,1,0.0491814,0.0078105,0.047186,0.00720388,0.0515773,0.00869829,0.0583477,0.0109365,0.123915,0.0337831,269.039
15,1,0.0491121,0.00778635,0.0471703,0.00720109,0.0515658,0.00869576,0.0583398,0.0109365,0.123957,0.0337736,262.911
