epoch,lambda,train_rec,train_idem,val_e@0.1,val_g@0.1,val_e@0.2,val_g@0.2,val_e@0.3,val_g@0.3,val_e@0.5,val_g@0.5,seconds
1,0.19907,0.115853,0.0204968,0.0701678,0.0152421,0.0717225,0.0156284,0.0743783,0.0162731,0.0822153,0.0182382,560.351
2,0.39907,0.0670435,0.0157059,0.0634092,0.0114748,0.0651491,0.0119755,0.068038,0.0128168,0.0756973,0.0152944,578.504
3,0.59907,0.0625611,0.0129773,0.0598511,0.0104464,0.0617815,0.0110021,0.0648908,0.0118692,0.0730903,0.0146153,312.077
4,0.79907,0.06,0.0110663,0.0588471,0.0111509,0.0606683,0.0116478,0.0637322,0.0124298,0.0737918,0.016084,297.536
5,0.99907,0.0581914,0.010142,0.05675,0.00950898,0.0589157,0.0100754,0.0624534,0.0110497,0.0802571,0.0199072,364.761
6,1,0.0566622,0.00912986,0.0552088,0.00792269,0.0574389,0.00864046,0.0612613,0.00984994,0.0862413,0.0225088,457.728
7,1,0.0553336,0.00827999,0.0538495,0.00745975,0.0562539,0.00821113,0.0603513,0.00945935,0.0880557,0.0228748,465.823
8,1,0.0543192,0.0078115,0.0529666,0.00731584,0.0554568,0.00809082,0.0596335,0.00937378,0.0885307,0.0228648,476.909
9,1,0.0535022,0.00743805,0.0522976,0.00697185,0.0547961,0.00778452,0.0590774,0.00912488,0.0915759,0.0232255,460.434
10,1,0.0528609,0.00711103,0.0516785,0.00684957,0.0542518,0.00763948,0.0586832,0.00898741,0.0917893,0.0226556,476.186
11,1,0.0523724,0.00689415,0.0512362,0.00652557,0.0538755,0.00734986,0.058297,0.00871831,0.0897952,0.0218742,469.363
12,1,0.052052,0.006757,0.0509499,0.00649093,0.0536349,0.00730964,0.0580999,0.00866969,0.0896891,0.0218476,450.776
13,1,0.0518356,0.0066465,0.050814,0.006385,0.0535173,0.00721515,0.0579733,0.00858502,0.0892033,0.0217235,384.719
14,1,0.0517481,0.00658829,0.0507519,0.00634982,0.0534543,0.00718262,0.0579124,0.00856414,0.0891223,0.0217099,788.682
15,1,0.0517003,0.00655359,0.050741,0.00633624,0.0534473,0.00716959,0.0579091,0.00855102,0.089067,0.0216785,348.666
