condition,model,e,e_mse,e_in,b,g,d,r_A,div,g_lin,sure,dis,g2,g3,q,frac_improved
noise(sigma=0.3),pca64,0.0950794,0.0177149,0.239265,0.286879,5.66315e-16,0.242621,0.242621,0.0815735,2.73008e-13,0.0176589,,5.41082e-16,5.39972e-16,,1
noise(sigma=0.3),dae_lam0.1w5_seed0,0.0511734,0.0116664,0.239265,0.286879,0.0132206,0.2477,0.2477,0.0252364,0.021347,0.0116454,0.0126862,0.00783214,0.00610905,0.585425,1
noise(sigma=0.3),dae_lam0.1w5_seed1,0.0525486,0.0122446,0.239265,0.286879,0.0128885,0.248771,0.248771,0.0233804,0.0226672,0.0122171,0.0126862,0.00790902,0.00626895,0.607008,1
noise(sigma=0.3),dae_lam0_seed0,0.0514362,0.0117686,0.239265,0.286879,0.0142875,0.247774,0.247774,0.0254611,0.0216207,0.0117507,0.0129269,0.00891288,0.00714532,0.616108,1
noise(sigma=0.3),dae_lam0_seed1,0.0521138,0.0120404,0.239265,0.286879,0.0144231,0.248333,0.248333,0.0243124,0.0234977,0.0120178,0.0129269,0.00906068,0.00733091,0.621066,1
noise(sigma=0.3),dae_lam0_seed2,0.0533118,0.0125378,0.239265,0.286879,0.0141508,0.249435,0.249435,0.0219062,0.0221651,0.012511,0.0129269,0.00945446,0.00791356,0.653101,1
noise(sigma=0.3),dae_lam1_seed0,0.209543,0.103143,0.239265,0.286879,1.91036e-06,0.344712,0.344712,8.60488e-08,8.58811e-06,0.103105,,6.13791e-09,5.83424e-09,0.00351683,0.7651
noise(sigma=0.3),dae_lam1w5_inner_seed0,0.0559329,0.0143364,0.239265,0.286879,0.0122059,0.252739,0.252739,0.0145632,0.0231497,0.0142964,0.015238,0.00697172,0.00564974,0.576731,1
noise(sigma=0.3),dae_lam1w5_inner_seed1,0.0570068,0.0150552,0.239265,0.286879,0.0122606,0.253524,0.253524,0.0141808,0.0231206,0.0150203,0.015238,0.00728984,0.00591524,0.597776,1
noise(sigma=0.3),dae_lam1w5_inner_seed2,0.0580846,0.0152458,0.239265,0.286879,0.01243,0.254043,0.254043,0.013264,0.022415,0.0152099,0.015238,0.00727325,0.00594594,0.582471,1
noise(sigma=0.3),dae_lam1w5_seed0,0.0553977,0.0137311,0.239265,0.286879,0.00853654,0.251387,0.251387,0.0183262,0.0182262,0.0136878,0.0123691,0.00472876,0.00376943,0.551287,1
noise(sigma=0.3),dae_lam1w5_seed1,0.0580306,0.0149111,0.239265,0.286879,0.0084738,0.252972,0.252972,0.0171211,0.0217676,0.0148785,0.0123691,0.00474452,0.0037618,0.556299,1
noise(sigma=0.3),dae_lam1w5_seed2,0.0581125,0.0149032,0.239265,0.286879,0.00738561,0.253424,0.253424,0.0149114,0.0159673,0.0148646,0.0123691,0.00410909,0.00332045,0.557481,1
noise(sigma=0.5),radial,0.233597,0.0853104,0.398989,0.286902,2.28449e-17,0.231664,0.231664,0.500964,3.56587e-14,0.085294,,4.77419e-18,2.23784e-18,,1
noise(sigma=0.5),pca64,0.129629,0.0307985,0.398989,0.286902,6.04342e-16,0.390688,0.390688,0.0815735,2.94493e-13,0.0308082,,5.80875e-16,5.79534e-16,,1
noise(sigma=0.5),dae_lam0.1w5_seed0,0.0675728,0.0192462,0.398989,0.286902,0.0197993,0.40356,0.40356,0.026166,0.0471401,0.0192944,0.0239164,0.0102625,0.00745803,0.513831,1
noise(sigma=0.5),dae_lam0.1w5_seed1,0.0737768,0.0216324,0.398989,0.286902,0.0212333,0.406202,0.406202,0.0237813,0.12901,0.0216761,0.0239164,0.0110661,0.00811001,0.51855,1
noise(sigma=0.5),dae_lam0_seed0,0.0676001,0.0191489,0.398989,0.286902,0.0208968,0.403381,0.403381,0.0265094,0.0448975,0.0192055,0.0227552,0.0113765,0.00852175,0.539861,1
noise(sigma=0.5),dae_lam0_seed1,0.0714237,0.0206179,0.398989,0.286902,0.0227926,0.404928,0.404928,0.0252531,0.0901452,0.0206359,0.0227552,0.0119279,0.00895388,0.52038,1
noise(sigma=0.5),dae_lam0_seed2,0.0701949,0.0202008,0.398989,0.286902,0.0205262,0.405692,0.405692,0.0224744,0.0652862,0.0202462,0.0227552,0.0117398,0.00923872,0.56239,1
noise(sigma=0.5),dae_lam1_seed0,0.209543,0.103143,0.398989,0.286902,3.41685e-06,0.472366,0.472366,7.37976e-08,1.15455e-05,0.103264,,6.16575e-09,5.84235e-09,0.00210084,0.9951
noise(sigma=0.5),dae_lam1w5_inner_seed0,0.0657452,0.0189576,0.398989,0.286902,0.0165194,0.407357,0.407357,0.0156415,0.0518756,0.0190579,0.0185474,0.00827663,0.00633944,0.505452,1
noise(sigma=0.5),dae_lam1w5_inner_seed1,0.0672389,0.0198131,0.398989,0.286902,0.0168709,0.408166,0.408166,0.0150578,0.0573253,0.0199209,0.0185474,0.00857975,0.006625,0.511065,1
noise(sigma=0.5),dae_lam1w5_inner_seed2,0.0673823,0.0196377,0.398989,0.286902,0.0168679,0.40855,0.40855,0.0139099,0.0480609,0.0197995,0.0185474,0.00848352,0.00661268,0.498363,1
noise(sigma=0.5),dae_lam1w5_seed0,0.0691309,0.020425,0.398989,0.286902,0.0130281,0.407505,0.407505,0.018022,0.0471613,0.0205205,0.0277041,0.00625397,0.00469828,0.477537,1
noise(sigma=0.5),dae_lam1w5_seed1,0.0884234,0.0293279,0.398989,0.286902,0.0213598,0.415117,0.415117,0.0139868,0.307835,0.0292927,0.0277041,0.00846929,0.00604026,0.411981,1
noise(sigma=0.5),dae_lam1w5_seed2,0.0698776,0.0206048,0.398989,0.286902,0.0109148,0.408851,0.408851,0.014922,0.0421359,0.02071,0.0277041,0.0053456,0.00411275,0.492899,1
blur(std=0.5),radial,0.0497756,0.00491522,0.0317409,0.28612,2.29526e-17,0.0358847,0.0397383,,,,,4.98697e-18,2.77617e-18,,0.1386
