group,model,signal,aurc,aurc_norm,mean_error,risk@0.8,risk_oracle@0.8,risk@0.5,risk_oracle@0.5
unet_lam0,unet_lam0_seed0,q,0.0975,1.2795,0.0852,0.0872,0.0582,0.0981,0.0394
unet_lam0,unet_lam0_seed0,b,0.0975,1.2815,0.0852,0.0893,0.0582,0.0957,0.0394
unet_lam0,unet_lam0_seed1,g,0.0642,0.5059,0.0860,0.0698,0.0591,0.0594,0.0400
unet_lam0,unet_lam0_seed1,d,0.0792,0.8449,0.0860,0.0901,0.0591,0.0748,0.0400
unet_lam0,unet_lam0_seed1,r_A,0.0830,0.9327,0.0860,0.0904,0.0591,0.0774,0.0400
unet_lam0,unet_lam0_seed1,dis,0.0651,0.5259,0.0860,0.0732,0.0591,0.0626,0.0400
unet_lam0,unet_lam0_seed1,g2,0.0628,0.4737,0.0860,0.0705,0.0591,0.0599,0.0400
unet_lam0,unet_lam0_seed1,q,0.0959,1.2244,0.0860,0.0889,0.0591,0.0965,0.0400
unet_lam0,unet_lam0_seed1,b,0.0980,1.2719,0.0860,0.0900,0.0591,0.0962,0.0400
unet_lam0,unet_lam0_seed2,g,0.0640,0.5149,0.0854,0.0696,0.0583,0.0590,0.0393
unet_lam0,unet_lam0_seed2,d,0.0789,0.8533,0.0854,0.0899,0.0583,0.0744,0.0393
unet_lam0,unet_lam0_seed2,r_A,0.0819,0.9208,0.0854,0.0905,0.0583,0.0758,0.0393
unet_lam0,unet_lam0_seed2,dis,0.0648,0.5337,0.0854,0.0731,0.0583,0.0623,0.0393
unet_lam0,unet_lam0_seed2,g2,0.0622,0.4747,0.0854,0.0704,0.0583,0.0590,0.0393
unet_lam0,unet_lam0_seed2,q,0.0952,1.2208,0.0854,0.0874,0.0583,0.0975,0.0393
unet_lam0,unet_lam0_seed2,b,0.0978,1.2795,0.0854,0.0894,0.0583,0.0959,0.0393
unet_lam1w5,unet_lam1w5_seed0,g,0.0701,0.6788,0.0844,0.0774,0.0570,0.0693,0.0380
unet_lam1w5,unet_lam1w5_seed0,d,0.0748,0.7831,0.0844,0.0861,0.0570,0.0722,0.0380
unet_lam1w5,unet_lam1w5_seed0,r_A,0.0780,0.8563,0.0844,0.0901,0.0570,0.0720,0.0380
unet_lam1w5,unet_lam1w5_seed0,dis,0.0655,0.5739,0.0844,0.0717,0.0570,0.0630,0.0380
unet_lam1w5,unet_lam1w5_seed0,g2,0.0719,0.7193,0.0844,0.0797,0.0570,0.0709,0.0380
unet_lam1w5,unet_lam1w5_seed0,q,0.0935,1.2043,0.0844,0.0856,0.0570,0.0914,0.0380
unet_lam1w5,unet_lam1w5_seed0,b,0.0973,1.2895,0.0844,0.0885,0.0570,0.0954,0.0380
unet_lam1w5,unet_lam1w5_seed1,g,0.0691,0.6496,0.0847,0.0765,0.0572,0.0672,0.0382
unet_lam1w5,unet_lam1w5_seed1,d,0.0749,0.7798,0.0847,0.0864,0.0572,0.0721,0.0382
unet_lam1w5,unet_lam1w5_seed1,r_A,0.0779,0.8468,0.0847,0.0901,0.0572,0.0718,0.0382
unet_lam1w5,unet_lam1w5_seed1,dis,0.0654,0.5678,0.0847,0.0716,0.0572,0.0629,0.0382
unet_lam1w5,unet_lam1w5_seed1,g2,0.0709,0.6899,0.0847,0.0788,0.0572,0.0693,0.0382
unet_lam1w5,unet_lam1w5_seed1,q,0.0942,1.2129,0.0847,0.0861,0.0572,0.0935,0.0382
unet_lam1w5,unet_lam1w5_seed1,b,0.0975,1.2861,0.0847,0.0887,0.0572,0.0956,0.0382
unet_lam1w5,unet_lam1w5_seed2,g,0.0672,0.6212,0.0841,0.0760,0.0564,0.0653,0.0376
unet_lam1w5,unet_lam1w5_seed2,d,0.0763,0.8239,0.0841,0.0867,0.0564,0.0724,0.0376
unet_lam1w5,unet_lam1w5_seed2,r_A,0.0779,0.8613,0.0841,0.0905,0.0564,0.0719,0.0376
unet_lam1w5,unet_lam1w5_seed2,dis,0.0655,0.5826,0.0841,0.0719,0.0564,0.0630,0.0376
unet_lam1w5,unet_lam1w5_seed2,g2,0.0701,0.6863,0.0841,0.0788,0.0564,0.0687,0.0376
unet_lam1w5,unet_lam1w5_seed2,q,0.0955,1.2565,0.0841,0.0852,0.0564,0.0957,0.0376
unet_lam1w5,unet_lam1w5_seed2,b,0.0975,1.3008,0.0841,0.0884,0.0564,0.0957,0.0376
