scope,group,model_group,signal,spearman,partial,auroc
all,all,dae_lam1w5,d@level,0.0368,0.0283,0.5421
all,all,dae_lam1w5,r_A@level,-0.1180,-0.1133,0.4654
family,noise,dae_lam1w5_outer,b,0.0594,,0.5249
family,noise,dae_lam1w5_outer,g,0.7767,0.7759,0.8972
family,noise,dae_lam1w5_outer,d,0.6552,0.6578,0.8344
family,noise,dae_lam1w5_outer,r_A,0.6552,0.6578,0.8344
family,noise,dae_lam1w5_outer,div,0.2653,0.2600,0.5971
family,noise,dae_lam1w5_outer,g_lin,0.7449,0.7465,0.8826
family,noise,dae_lam1w5_outer,sure,0.7632,0.7669,0.8840
family,noise,dae_lam1w5_outer,b@level,0.3202,0.3209,0.6223
family,noise,dae_lam1w5_outer,g@level,0.5322,0.5332,0.7750
family,noise,dae_lam1w5_outer,d@level,0.5322,0.5332,0.7750
family,noise,dae_lam1w5_outer,r_A@level,0.5322,0.5332,0.7750
family,noise,dae_lam1w5_outer,div@level,-0.4463,-0.4471,0.2494
family,noise,dae_lam1w5_outer,g_lin@level,0.5322,0.5332,0.7750
family,noise,dae_lam1w5_outer,sure@level,0.5322,0.5332,0.7750
family,blur,dae_lam1w5_outer,b,0.2361,,0.6687
family,blur,dae_lam1w5_outer,g,0.7171,0.7018,0.8486
family,blur,dae_lam1w5_outer,d,0.6044,0.6190,0.8002
family,blur,dae_lam1w5_outer,r_A,0.5114,0.4678,0.7881
family,blur,dae_lam1w5_outer,b@level,-0.6907,-0.7174,0.1766
family,blur,dae_lam1w5_outer,g@level,0.6907,0.7174,0.8234
family,blur,dae_lam1w5_outer,d@level,0.5084,0.5276,0.6776
family,blur,dae_lam1w5_outer,r_A@level,0.0350,0.0369,0.6138
family,pixel_mask,dae_lam1w5_outer,b,0.0661,,0.5148
family,pixel_mask,dae_lam1w5_outer,g,0.5503,0.5734,0.7602
family,pixel_mask,dae_lam1w5_outer,d,0.5801,0.9233,0.7763
family,pixel_mask,dae_lam1w5_outer,r_A,0.5321,0.8715,0.7605
family,pixel_mask,dae_lam1w5_outer,b@level,-0.6360,-0.9252,0.1961
family,pixel_mask,dae_lam1w5_outer,g@level,0.5540,0.7579,0.7478
family,pixel_mask,dae_lam1w5_outer,d@level,-0.2452,-0.3014,0.3343
family,pixel_mask,dae_lam1w5_outer,r_A@level,-0.2452,-0.3014,0.3343
family,box_mask,dae_lam1w5_outer,b,0.2477,,0.6108
family,box_mask,dae_lam1w5_outer,g,0.7417,0.7483,0.8411
family,box_mask,dae_lam1w5_outer,d,0.6003,0.5723,0.7532
family,box_mask,dae_lam1w5_outer,r_A,0.4759,0.4205,0.6859
family,box_mask,dae_lam1w5_outer,b@level,-0.5987,-0.7403,0.1920
family,box_mask,dae_lam1w5_outer,g@level,0.5987,0.7403,0.8080
family,box_mask,dae_lam1w5_outer,d@level,-0.5987,-0.7403,0.1920
family,box_mask,dae_lam1w5_outer,r_A@level,-0.5987,-0.7403,0.1920
all,all,dae_lam1w5_outer,b,-0.1514,,0.3768
all,all,dae_lam1w5_outer,g,0.4994,0.5840,0.6722
all,all,dae_lam1w5_outer,d,0.1947,0.2286,0.6220
all,all,dae_lam1w5_outer,r_A,0.0715,0.1065,0.5576
all,all,dae_lam1w5_outer,b@level,-0.6204,-0.6250,0.1280
all,all,dae_lam1w5_outer,g@level,0.3797,0.3785,0.6179
all,all,dae_lam1w5_outer,d@level,0.0466,0.0405,0.5345
all,all,dae_lam1w5_outer,r_A@level,-0.0800,-0.0779,0.4861
family,noise,dae_lam1w5_inner,dis,0.7140,0.7109,0.8337
family,noise,dae_lam1w5_inner,g2,0.4896,0.4986,0.7444
family,noise,dae_lam1w5_inner,g3,0.4397,0.4461,0.7184
family,noise,dae_lam1w5_inner,q,-0.2910,-0.2959,0.3683
family,noise,dae_lam1w5_inner,dis@level,0.2330,0.2340,0.5972
family,noise,dae_lam1w5_inner,g2@level,0.2330,0.2340,0.5972
family,noise,dae_lam1w5_inner,g3@level,0.2330,0.2340,0.5972
family,noise,dae_lam1w5_inner,q@level,-0.2330,-0.2340,0.4028
family,noise,dae_lam1w5,dis,0.7153,0.7145,0.8314
family,noise,dae_lam1w5,g2,0.5994,0.5991,0.8081
family,noise,dae_lam1w5,g3,0.5646,0.5635,0.7909
family,noise,dae_lam1w5,q,-0.3354,-0.3450,0.3471
family,noise,dae_lam1w5,dis@level,0.3864,0.3870,0.6771
family,noise,dae_lam1w5,g2@level,0.3864,0.3870,0.6771
family,noise,dae_lam1w5,g3@level,0.3864,0.3870,0.6771
family,noise,dae_lam1w5,q@level,-0.3864,-0.3870,0.3229
family,blur,dae_lam1w5_inner,dis,0.6078,0.5690,0.7730
family,blur,dae_lam1w5_inner,g2,0.2764,0.2932,0.6124
family,blur,dae_lam1w5_inner,g3,0.2381,0.2443,0.5958
family,blur,dae_lam1w5_inner,q,-0.4071,-0.3834,0.2963
family,blur,dae_lam1w5_inner,dis@level,0.6155,0.6459,0.7918
family,blur,dae_lam1w5_inner,g2@level,0.6155,0.6459,0.7918
family,blur,dae_lam1w5_inner,g3@level,0.6155,0.6459,0.7918
family,blur,dae_lam1w5_inner,q@level,-0.6155,-0.6459,0.2082
family,blur,dae_lam1w5,dis,0.7397,0.7465,0.8643
family,blur,dae_lam1w5,g2,0.5724,0.5492,0.7902
family,blur,dae_lam1w5,g3,0.5219,0.4931,0.7661
family,blur,dae_lam1w5,q,-0.3641,-0.3377,0.3402
family,blur,dae_lam1w5,dis@level,0.6196,0.6401,0.7880
family,blur,dae_lam1w5,g2@level,0.6196,0.6401,0.7880
family,blur,dae_lam1w5,g3@level,0.6196,0.6401,0.7880
family,blur,dae_lam1w5,q@level,-0.6196,-0.6401,0.2120
family,pixel_mask,dae_lam1w5_inner,dis,0.3925,0.4992,0.7084
family,pixel_mask,dae_lam1w5_inner,g2,0.3338,0.3344,0.6705
family,pixel_mask,dae_lam1w5_inner,g3,0.2356,0.2363,0.6306
family,pixel_mask,dae_lam1w5_inner,q,-0.0797,-0.0782,0.4771
family,pixel_mask,dae_lam1w5_inner,dis@level,-0.6638,-0.9196,0.1939
family,pixel_mask,dae_lam1w5_inner,g2@level,0.5777,0.7563,0.7494
family,pixel_mask,dae_lam1w5_inner,g3@level,-0.0368,-0.0507,0.4316
family,pixel_mask,dae_lam1w5_inner,q@level,0.0445,0.1112,0.4867
family,pixel_mask,dae_lam1w5,dis,0.5322,0.6091,0.7742
family,pixel_mask,dae_lam1w5,g2,0.3929,0.3907,0.6708
family,pixel_mask,dae_lam1w5,g3,0.3472,0.3452,0.6408
family,pixel_mask,dae_lam1w5,q,-0.1593,-0.1416,0.4039
