condition,model_group,signal,spearman,spearman_min,spearman_max,partial,partial_min,partial_max,auroc
noise(sigma=0.3),dae_lam1w5,g,0.5846,0.5758,0.5923,0.5814,0.5744,0.5882,0.8105
noise(sigma=0.3),dae_lam1w5,d,0.6487,0.6284,0.6766,0.6535,0.6340,0.6794,0.8677
noise(sigma=0.3),dae_lam1w5,r_A,0.6487,0.6284,0.6766,0.6535,0.6340,0.6794,0.8677
noise(sigma=0.3),dae_lam1w5,div,0.3136,0.2194,0.3759,0.3062,0.2171,0.3687,0.6454
noise(sigma=0.3),dae_lam1w5,g_lin,0.5107,0.1953,0.6742,0.5275,0.1964,0.7016,0.7832
noise(sigma=0.3),dae_lam1w5,sure,0.6962,0.6824,0.7146,0.6983,0.6854,0.7156,0.8849
noise(sigma=0.5),dae_lam0,b,0.1259,0.1071,0.1356,,,,0.5503
noise(sigma=0.5),dae_lam0,g,0.7177,0.6831,0.7723,0.7171,0.6886,0.7708,0.8587
noise(sigma=0.5),dae_lam0,d,0.2824,0.2526,0.3090,0.2835,0.2557,0.3077,0.6657
noise(sigma=0.5),dae_lam0,r_A,0.2824,0.2526,0.3090,0.2835,0.2557,0.3077,0.6657
noise(sigma=0.5),dae_lam0,div,0.4906,0.4350,0.5779,0.4878,0.4362,0.5751,0.7323
noise(sigma=0.5),dae_lam0,g_lin,0.4276,0.0916,0.7502,0.4460,0.1219,0.7496,0.7222
noise(sigma=0.5),dae_lam0,sure,0.3985,0.3934,0.4081,0.3986,0.3938,0.4069,0.7205
noise(sigma=0.5),dae_lam1,b,0.5007,0.5007,0.5007,,,,0.8695
noise(sigma=0.5),dae_lam1,g,0.1054,0.1054,0.1054,0.0931,0.0931,0.0931,0.5502
noise(sigma=0.5),dae_lam1,d,0.8750,0.8750,0.8750,0.8332,0.8332,0.8332,0.9644
noise(sigma=0.5),dae_lam1,r_A,0.8750,0.8750,0.8750,0.8332,0.8332,0.8332,0.9644
noise(sigma=0.5),dae_lam1,div,0.0021,0.0021,0.0021,-0.0031,-0.0031,-0.0031,0.5035
noise(sigma=0.5),dae_lam1,g_lin,0.0649,0.0649,0.0649,0.0519,0.0519,0.0519,0.5362
noise(sigma=0.5),dae_lam1,sure,0.8846,0.8846,0.8846,0.8444,0.8444,0.8444,0.9679
noise(sigma=0.5),dae_lam1w5,b,0.0371,-0.2034,0.2001,,,,0.4887
noise(sigma=0.5),dae_lam1w5,g,0.5487,0.4945,0.5790,0.5395,0.4962,0.5751,0.8003
noise(sigma=0.5),dae_lam1w5,d,0.4376,0.3488,0.5730,0.4329,0.3526,0.5602,0.7490
noise(sigma=0.5),dae_lam1w5,r_A,0.4376,0.3488,0.5730,0.4329,0.3526,0.5602,0.7490
noise(sigma=0.5),dae_lam1w5,div,0.1711,-0.1249,0.3932,0.1859,-0.0659,0.3812,0.5647
noise(sigma=0.5),dae_lam1w5,g_lin,0.4840,0.4068,0.5666,0.4712,0.3721,0.5976,0.7727
noise(sigma=0.5),dae_lam1w5,sure,0.4912,0.4313,0.5938,0.4879,0.4318,0.5894,0.7736
blur(std=0.5),dae_lam0,b,0.0381,0.0298,0.0434,,,,0.5147
blur(std=0.5),dae_lam0,g,0.7100,0.6962,0.7261,0.7121,0.7030,0.7255,0.8495
blur(std=0.5),dae_lam0,d,0.9478,0.9388,0.9542,0.9531,0.9469,0.9578,0.9876
blur(std=0.5),dae_lam0,r_A,0.9838,0.9837,0.9839,0.9864,0.9860,0.9867,0.9943
blur(std=0.5),dae_lam1,b,0.5055,0.5055,0.5055,,,,0.8721
blur(std=0.5),dae_lam1,g,0.7610,0.7610,0.7610,0.7154,0.7154,0.7154,0.8697
blur(std=0.5),dae_lam1,d,0.9954,0.9954,0.9954,0.9939,0.9939,0.9939,0.9992
blur(std=0.5),dae_lam1,r_A,0.9956,0.9956,0.9956,0.9941,0.9941,0.9941,0.9991
blur(std=0.5),dae_lam1w5,b,0.0389,0.0285,0.0444,,,,0.5196
blur(std=0.5),dae_lam1w5,g,0.6486,0.6291,0.6788,0.6519,0.6326,0.6848,0.8435
blur(std=0.5),dae_lam1w5,d,0.9662,0.9598,0.9726,0.9691,0.9642,0.9749,0.9895
blur(std=0.5),dae_lam1w5,r_A,0.9851,0.9844,0.9865,0.9868,0.9860,0.9880,0.9931
blur(std=1),dae_lam0,b,0.2644,0.2531,0.2715,,,,0.6223
blur(std=1),dae_lam0,g,0.4772,0.4372,0.4992,0.4346,0.4238,0.4401,0.7701
blur(std=1),dae_lam0,d,0.4713,0.4468,0.5078,0.4534,0.4195,0.5110,0.7340
blur(std=1),dae_lam0,r_A,0.8435,0.8324,0.8568,0.8326,0.8242,0.8447,0.9173
blur(std=1),dae_lam1,b,0.5062,0.5062,0.5062,,,,0.8720
blur(std=1),dae_lam1,g,0.7834,0.7834,0.7834,0.7484,0.7484,0.7484,0.8765
blur(std=1),dae_lam1,d,0.9697,0.9697,0.9697,0.9616,0.9616,0.9616,0.9947
blur(std=1),dae_lam1,r_A,0.9750,0.9750,0.9750,0.9665,0.9665,0.9665,0.9944
blur(std=1),dae_lam1w5,b,0.1770,0.1497,0.2114,,,,0.5753
blur(std=1),dae_lam1w5,g,0.5193,0.4578,0.5720,0.4970,0.4157,0.5554,0.7753
blur(std=1),dae_lam1w5,d,0.4518,0.4010,0.5037,0.5187,0.4518,0.6214,0.7384
blur(std=1),dae_lam1w5,r_A,0.8388,0.8257,0.8531,0.8365,0.8216,0.8525,0.9243
blur(std=1.5),dae_lam0,b,0.5365,0.5212,0.5441,,,,0.7131
blur(std=1.5),dae_lam0,g,0.4573,0.3580,0.5161,0.1702,0.1637,0.1779,0.6992
blur(std=1.5),dae_lam0,d,0.6183,0.6086,0.6289,0.3689,0.3476,0.3825,0.7701
blur(std=1.5),dae_lam0,r_A,0.7551,0.7489,0.7622,0.6310,0.6156,0.6414,0.8646
blur(std=1.5),dae_lam1,b,0.5055,0.5055,0.5055,,,,0.8711
blur(std=1.5),dae_lam1,g,0.7791,0.7791,0.7791,0.7661,0.7661,0.7661,0.8749
blur(std=1.5),dae_lam1,d,0.9445,0.9445,0.9445,0.9331,0.9331,0.9331,0.9894
blur(std=1.5),dae_lam1,r_A,0.9581,0.9581,0.9581,0.9440,0.9440,0.9440,0.9892
