condition,model_group,signal,spearman,spearman_min,spearman_max,partial,partial_min,partial_max,auroc
blur(std=1),dae_lam1,q,-0.7517,-0.7517,-0.7517,-0.7099,-0.7099,-0.7099,0.1379
blur(std=1),dae_lam1w5,dis,0.6549,0.6336,0.6787,0.6590,0.6417,0.6892,0.8315
blur(std=1),dae_lam1w5,g2,0.4787,0.4463,0.5216,0.4552,0.4057,0.5058,0.7441
blur(std=1),dae_lam1w5,g3,0.4760,0.4467,0.5154,0.4524,0.4291,0.4989,0.7403
blur(std=1),dae_lam1w5,q,0.0044,-0.0827,0.0595,0.0444,-0.0587,0.0959,0.4850
blur(std=1.5),dae_lam0,dis,0.5916,0.5832,0.5996,0.4071,0.4033,0.4146,0.7502
blur(std=1.5),dae_lam0,g2,0.4021,0.2580,0.5007,0.2473,0.2395,0.2606,0.6895
blur(std=1.5),dae_lam0,g3,0.3172,0.1699,0.4155,0.2504,0.2369,0.2583,0.6566
blur(std=1.5),dae_lam0,q,-0.0763,-0.0935,-0.0658,0.1799,0.1542,0.1946,0.4892
blur(std=1.5),dae_lam1,g2,-0.0099,-0.0099,-0.0099,0.0235,0.0235,0.0235,0.4916
blur(std=1.5),dae_lam1,g3,0.0058,0.0058,0.0058,0.0076,0.0076,0.0076,0.4974
blur(std=1.5),dae_lam1,q,-0.7527,-0.7527,-0.7527,-0.7320,-0.7320,-0.7320,0.1377
blur(std=1.5),dae_lam1w5,dis,0.6304,0.5866,0.6650,0.5269,0.5025,0.5423,0.7956
blur(std=1.5),dae_lam1w5,g2,0.5163,0.5096,0.5260,0.4205,0.3573,0.4928,0.7560
blur(std=1.5),dae_lam1w5,g3,0.5135,0.4837,0.5351,0.4258,0.3960,0.4755,0.7539
blur(std=1.5),dae_lam1w5,q,0.0175,-0.0287,0.0435,0.1872,0.1218,0.2259,0.5391
blur(std=2),dae_lam0,dis,0.6463,0.6210,0.6648,0.2203,0.1963,0.2376,0.7686
blur(std=2),dae_lam0,g2,0.4751,0.2880,0.6079,0.0863,0.0742,0.1008,0.7160
blur(std=2),dae_lam0,g3,0.3423,0.1159,0.5076,0.0807,0.0636,0.1057,0.6747
blur(std=2),dae_lam0,q,-0.2405,-0.2478,-0.2355,-0.0231,-0.0579,0.0071,0.4358
blur(std=2),dae_lam1,g2,-0.0107,-0.0107,-0.0107,0.0157,0.0157,0.0157,0.4961
blur(std=2),dae_lam1,g3,-0.0037,-0.0037,-0.0037,-0.0003,-0.0003,-0.0003,0.5077
blur(std=2),dae_lam1,q,-0.7298,-0.7298,-0.7298,-0.7437,-0.7437,-0.7437,0.1495
blur(std=2),dae_lam1w5,dis,0.6544,0.6196,0.6956,0.3408,0.3206,0.3707,0.7926
blur(std=2),dae_lam1w5,g2,0.5178,0.4743,0.5430,0.3210,0.2425,0.4088,0.7457
blur(std=2),dae_lam1w5,g3,0.5034,0.4733,0.5345,0.3150,0.2648,0.4136,0.7401
blur(std=2),dae_lam1w5,q,-0.1673,-0.2363,-0.1016,0.1088,0.0052,0.2604,0.4610
pixel_mask(drop=0.25),dae_lam0,dis,0.7863,0.7761,0.7985,0.6264,0.6075,0.6492,0.8881
pixel_mask(drop=0.25),dae_lam0,g2,0.3705,0.2008,0.4780,0.5194,0.4881,0.5531,0.7030
pixel_mask(drop=0.25),dae_lam0,g3,0.2495,0.1219,0.3295,0.4776,0.4342,0.5273,0.6391
pixel_mask(drop=0.25),dae_lam0,q,-0.4190,-0.4508,-0.3797,0.1140,0.0620,0.1919,0.2953
pixel_mask(drop=0.25),dae_lam1,g2,-0.0012,-0.0012,-0.0012,0.0043,0.0043,0.0043,0.4941
pixel_mask(drop=0.25),dae_lam1,g3,0.0090,0.0090,0.0090,0.0070,0.0070,0.0070,0.4990
pixel_mask(drop=0.25),dae_lam1,q,-0.3626,-0.3626,-0.3626,-0.3556,-0.3556,-0.3556,0.3210
pixel_mask(drop=0.25),dae_lam1w5,dis,0.7538,0.7391,0.7684,0.5896,0.5558,0.6183,0.8764
pixel_mask(drop=0.25),dae_lam1w5,g2,0.4586,0.3772,0.5416,0.4355,0.4217,0.4626,0.7162
pixel_mask(drop=0.25),dae_lam1w5,g3,0.4300,0.3478,0.5018,0.4121,0.3963,0.4345,0.7043
pixel_mask(drop=0.25),dae_lam1w5,q,-0.2620,-0.2885,-0.2143,-0.0514,-0.0651,-0.0274,0.3685
pixel_mask(drop=0.5),dae_lam0,dis,0.8618,0.8597,0.8647,0.3676,0.3528,0.3895,0.9373
pixel_mask(drop=0.5),dae_lam0,g2,0.3273,0.2031,0.4867,0.3331,0.3057,0.3527,0.6726
pixel_mask(drop=0.5),dae_lam0,g3,0.2030,0.1329,0.2965,0.2924,0.2701,0.3075,0.5802
pixel_mask(drop=0.5),dae_lam0,q,-0.4921,-0.5526,-0.3726,0.0519,0.0276,0.0702,0.2167
pixel_mask(drop=0.5),dae_lam1,g2,-0.0054,-0.0054,-0.0054,-0.0121,-0.0121,-0.0121,0.5015
pixel_mask(drop=0.5),dae_lam1,g3,-0.0088,-0.0088,-0.0088,-0.0072,-0.0072,-0.0072,0.5026
pixel_mask(drop=0.5),dae_lam1,q,-0.2524,-0.2524,-0.2524,-0.1788,-0.1788,-0.1788,0.3640
pixel_mask(drop=0.5),dae_lam1w5,dis,0.7944,0.7905,0.7994,0.3740,0.3520,0.4012,0.9054
pixel_mask(drop=0.5),dae_lam1w5,g2,0.3837,0.3186,0.4272,0.2682,0.2416,0.2843,0.6896
pixel_mask(drop=0.5),dae_lam1w5,g3,0.3292,0.2277,0.3871,0.2465,0.2122,0.2650,0.6660
pixel_mask(drop=0.5),dae_lam1w5,q,-0.3907,-0.4154,-0.3477,0.0018,-0.0291,0.0189,0.3056
pixel_mask(drop=0.75),dae_lam0,dis,0.8944,0.8911,0.8974,0.2118,0.1790,0.2439,0.9430
pixel_mask(drop=0.75),dae_lam0,g2,0.5808,0.5152,0.6993,0.0852,0.0583,0.1228,0.7266
pixel_mask(drop=0.75),dae_lam0,g3,0.6386,0.5370,0.7823,0.0072,-0.0095,0.0392,0.7360
pixel_mask(drop=0.75),dae_lam0,q,0.1845,0.0650,0.4117,-0.0840,-0.0980,-0.0574,0.4641
pixel_mask(drop=0.75),dae_lam1,g2,0.0041,0.0041,0.0041,0.0068,0.0068,0.0068,0.5040
pixel_mask(drop=0.75),dae_lam1,g3,-0.0105,-0.0105,-0.0105,-0.0045,-0.0045,-0.0045,0.4941
pixel_mask(drop=0.75),dae_lam1,q,-0.1689,-0.1689,-0.1689,-0.0632,-0.0632,-0.0632,0.4014
pixel_mask(drop=0.75),dae_lam1w5,dis,0.8720,0.8705,0.8733,0.2589,0.2460,0.2706,0.9270
pixel_mask(drop=0.75),dae_lam1w5,g2,0.2516,0.1737,0.3622,0.1574,0.1361,0.1877,0.6358
pixel_mask(drop=0.75),dae_lam1w5,g3,0.1969,0.1128,0.3028,0.1265,0.1033,0.1575,0.5902
pixel_mask(drop=0.75),dae_lam1w5,q,-0.3814,-0.4377,-0.3527,0.0068,-0.0128,0.0167,0.2974
box_mask(size=8),dae_lam0,dis,0.8704,0.8658,0.8760,0.8207,0.8144,0.8280,0.9206
box_mask(size=8),dae_lam0,g2,0.7769,0.7655,0.7893,0.7115,0.7044,0.7157,0.8703
box_mask(size=8),dae_lam0,g3,0.7345,0.7156,0.7526,0.6736,0.6651,0.6780,0.8501
box_mask(size=8),dae_lam0,q,-0.0069,-0.0172,0.0116,0.0459,0.0116,0.0890,0.5042
box_mask(size=8),dae_lam1,g2,0.0147,0.0147,0.0147,0.0313,0.0313,0.0313,0.4987
box_mask(size=8),dae_lam1,g3,-0.0033,-0.0033,-0.0033,-0.0046,-0.0046,-0.0046,0.4983
box_mask(size=8),dae_lam1,q,-0.5667,-0.5667,-0.5667,-0.5705,-0.5705,-0.5705,0.2314
box_mask(size=8),dae_lam1w5,dis,0.8478,0.8454,0.8513,0.7910,0.7895,0.7921,0.9046
box_mask(size=8),dae_lam1w5,g2,0.7833,0.7744,0.7914,0.7042,0.6960,0.7104,0.8724
box_mask(size=8),dae_lam1w5,g3,0.7539,0.7348,0.7643,0.6719,0.6581,0.6818,0.8564
box_mask(size=8),dae_lam1w5,q,-0.0782,-0.1958,0.0135,-0.0645,-0.1041,-0.0288,0.4771
box_mask(size=14),dae_lam0,dis,0.7942,0.7855,0.8078,0.5773,0.5661,0.5991,0.8979
box_mask(size=14),dae_lam0,g2,0.6697,0.6375,0.6919,0.3884,0.3424,0.4134,0.8322
box_mask(size=14),dae_lam0,g3,0.6391,0.6141,0.6629,0.3498,0.3083,0.3746,0.8134
box_mask(size=14),dae_lam0,q,-0.0020,-0.0268,0.0290,-0.0285,-0.0626,0.0015,0.4953
box_mask(size=14),dae_lam1,g2,0.0091,0.0091,0.0091,0.0170,0.0170,0.0170,0.4990
box_mask(size=14),dae_lam1,g3,0.0018,0.0018,0.0018,-0.0004,-0.0004,-0.0004,0.4970
box_mask(size=14),dae_lam1,q,-0.3756,-0.3756,-0.3756,-0.4521,-0.4521,-0.4521,0.3348
box_mask(size=14),dae_lam1w5,dis,0.7898,0.7820,0.7999,0.5595,0.5523,0.5684,0.8976
box_mask(size=14),dae_lam1w5,g2,0.7274,0.7257,0.7291,0.4658,0.4536,0.4888,0.8504
box_mask(size=14),dae_lam1w5,g3,0.6943,0.6862,0.6993,0.4098,0.3798,0.4442,0.8305
box_mask(size=14),dae_lam1w5,q,-0.0097,-0.0701,0.0501,-0.0652,-0.1178,0.0013,0.4777
