scope,group,projector,signal,constant,spearman,spearman_lo,spearman_hi,auroc,auroc_lo,auroc_hi,n
family,pixel_mask,pca16,d,False,0.6334,0.6261,0.6412,0.7813,0.7752,0.7877,30000
family,pixel_mask,pca16,r_A,False,0.4312,0.4212,0.4418,0.6763,0.6693,0.6833,30000
family,pixel_mask,pca64,g,True,,,,0.5000,0.5000,0.5000,30000
family,pixel_mask,pca64,d,False,0.6457,0.6389,0.6529,0.7966,0.7907,0.8026,30000
family,pixel_mask,pca64,r_A,False,0.4504,0.4407,0.4606,0.7005,0.6937,0.7079,30000
family,pixel_mask,pca256,g,True,,,,0.5000,0.5000,0.5000,30000
family,pixel_mask,pca256,d,False,0.7162,0.7108,0.7220,0.8359,0.8310,0.8409,30000
family,pixel_mask,pca256,r_A,False,0.3514,0.3405,0.3626,0.6416,0.6346,0.6491,30000
family,pixel_mask,nn,g,True,,,,0.5000,0.5000,0.5000,30000
family,pixel_mask,nn,d,False,0.5828,0.5751,0.5906,0.7625,0.7562,0.7688,30000
family,pixel_mask,nn,r_A,False,0.5234,0.5150,0.5319,0.7318,0.7253,0.7386,30000
family,box_mask,identity,g,True,,,,0.5000,0.5000,0.5000,20000
family,box_mask,identity,d,True,,,,0.5000,0.5000,0.5000,20000
family,box_mask,identity,r_A,True,,,,0.5000,0.5000,0.5000,20000
family,box_mask,radial,g,True,,,,0.5000,0.5000,0.5000,20000
family,box_mask,radial,d,False,0.5931,0.5837,0.6030,0.7843,0.7768,0.7921,20000
family,box_mask,radial,r_A,False,0.4643,0.4537,0.4759,0.7144,0.7065,0.7228,20000
family,box_mask,pca16,g,True,,,,0.5000,0.5000,0.5000,20000
family,box_mask,pca16,d,False,0.8343,0.8297,0.8388,0.8749,0.8702,0.8800,20000
family,box_mask,pca16,r_A,False,0.6581,0.6500,0.6661,0.7719,0.7652,0.7791,20000
family,box_mask,pca64,g,True,,,,0.5000,0.5000,0.5000,20000
family,box_mask,pca64,d,False,0.6546,0.6464,0.6624,0.7720,0.7654,0.7789,20000
family,box_mask,pca64,r_A,False,0.4140,0.4024,0.4250,0.6385,0.6308,0.6470,20000
family,box_mask,pca256,g,True,,,,0.5000,0.5000,0.5000,20000
family,box_mask,pca256,d,False,0.2912,0.2790,0.3037,0.5904,0.5826,0.5989,20000
family,box_mask,pca256,r_A,False,0.1036,0.0904,0.1166,0.4939,0.4855,0.5032,20000
family,box_mask,nn,g,True,,,,0.5000,0.5000,0.5000,20000
family,box_mask,nn,d,False,0.8081,0.8025,0.8138,0.8794,0.8742,0.8849,20000
family,box_mask,nn,r_A,False,0.8023,0.7967,0.8080,0.8779,0.8728,0.8832,20000
all,all,identity,g,True,,,,0.5000,0.5000,0.5000,130000
all,all,identity,d,True,,,,0.5000,0.5000,0.5000,130000
all,all,identity,r_A,False,-0.3335,-0.3361,-0.3309,0.3018,0.3009,0.3026,130000
all,all,radial,g,True,,,,0.5000,0.5000,0.5000,130000
all,all,radial,d,False,0.5739,0.5687,0.5794,0.8096,0.8067,0.8126,130000
all,all,radial,r_A,False,0.3766,0.3713,0.3818,0.7149,0.7115,0.7183,130000
all,all,pca16,g,True,,,,0.5000,0.5000,0.5000,130000
all,all,pca16,d,False,0.2793,0.2756,0.2831,0.6566,0.6546,0.6588,130000
all,all,pca16,r_A,False,0.1158,0.1105,0.1215,0.5384,0.5353,0.5417,130000
all,all,pca64,g,True,,,,0.5000,0.5000,0.5000,130000
all,all,pca64,d,False,0.3638,0.3605,0.3672,0.6779,0.6755,0.6803,130000
all,all,pca64,r_A,False,0.2458,0.2411,0.2504,0.5844,0.5819,0.5870,130000
all,all,pca256,g,True,,,,0.5000,0.5000,0.5000,130000
all,all,pca256,d,False,0.5747,0.5728,0.5765,0.8195,0.8176,0.8213,130000
all,all,pca256,r_A,False,0.4981,0.4947,0.5015,0.7047,0.7021,0.7072,130000
all,all,nn,g,True,,,,0.5000,0.5000,0.5000,130000
all,all,nn,d,False,0.2120,0.2074,0.2165,0.6403,0.6376,0.6430,130000
all,all,nn,r_A,False,0.0449,0.0401,0.0496,0.5442,0.5411,0.5473,130000
