scope,group,projector,signal,constant,spearman,spearman_lo,spearman_hi,auroc,auroc_lo,auroc_hi,n
condition,noise(sigma=0.5),identity,d,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.5),identity,r_A,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.5),radial,g,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.5),radial,d,False,0.4773,0.4611,0.4932,0.7937,0.7830,0.8040,10000
condition,noise(sigma=0.5),radial,r_A,False,0.4773,0.4611,0.4932,0.7937,0.7830,0.8040,10000
condition,noise(sigma=0.5),pca16,g,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.5),pca16,d,False,0.4695,0.4546,0.4862,0.7741,0.7639,0.7839,10000
condition,noise(sigma=0.5),pca16,r_A,False,0.4695,0.4546,0.4862,0.7741,0.7639,0.7839,10000
condition,noise(sigma=0.5),pca64,g,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.5),pca64,d,False,0.2960,0.2789,0.3136,0.6845,0.6723,0.6961,10000
condition,noise(sigma=0.5),pca64,r_A,False,0.2960,0.2789,0.3136,0.6845,0.6723,0.6961,10000
condition,noise(sigma=0.5),pca256,g,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.5),pca256,d,False,0.0517,0.0313,0.0716,0.5290,0.5151,0.5423,10000
condition,noise(sigma=0.5),pca256,r_A,False,0.0517,0.0313,0.0716,0.5290,0.5151,0.5423,10000
condition,noise(sigma=0.5),nn,g,True,,,,0.5000,0.5000,0.5000,10000
condition,noise(sigma=0.5),nn,d,False,0.4795,0.4637,0.4957,0.7763,0.7661,0.7868,10000
condition,noise(sigma=0.5),nn,r_A,False,0.4795,0.4637,0.4957,0.7763,0.7661,0.7868,10000
condition,blur(std=0.5),identity,g,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=0.5),identity,d,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=0.5),identity,r_A,False,0.9695,0.9680,0.9709,0.9835,0.9818,0.9854,10000
condition,blur(std=0.5),radial,g,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=0.5),radial,d,False,0.8913,0.8867,0.8954,0.9700,0.9668,0.9730,10000
condition,blur(std=0.5),radial,r_A,False,0.9870,0.9861,0.9878,0.9987,0.9983,0.9990,10000
condition,blur(std=0.5),pca16,g,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=0.5),pca16,d,False,0.9830,0.9821,0.9839,0.9928,0.9916,0.9938,10000
condition,blur(std=0.5),pca16,r_A,False,0.9878,0.9871,0.9885,0.9941,0.9930,0.9950,10000
condition,blur(std=0.5),pca64,g,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=0.5),pca64,d,False,0.9757,0.9746,0.9769,0.9926,0.9915,0.9936,10000
condition,blur(std=0.5),pca64,r_A,False,0.9901,0.9896,0.9905,0.9958,0.9951,0.9965,10000
condition,blur(std=0.5),pca256,g,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=0.5),pca256,d,False,0.9075,0.9031,0.9123,0.9812,0.9788,0.9835,10000
condition,blur(std=0.5),pca256,r_A,False,0.9798,0.9785,0.9808,0.9958,0.9952,0.9965,10000
condition,blur(std=0.5),nn,g,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=0.5),nn,d,False,0.9813,0.9803,0.9821,0.9929,0.9917,0.9941,10000
condition,blur(std=0.5),nn,r_A,False,0.9879,0.9873,0.9885,0.9946,0.9937,0.9955,10000
condition,blur(std=1),identity,g,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=1),identity,d,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=1),identity,r_A,False,0.7540,0.7439,0.7647,0.8632,0.8556,0.8719,10000
condition,blur(std=1),radial,g,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=1),radial,d,False,0.7090,0.6968,0.7208,0.8692,0.8594,0.8783,10000
condition,blur(std=1),radial,r_A,False,0.8757,0.8695,0.8813,0.9428,0.9373,0.9481,10000
condition,blur(std=1),pca16,g,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=1),pca16,d,False,0.8467,0.8399,0.8534,0.9345,0.9293,0.9398,10000
condition,blur(std=1),pca16,r_A,False,0.9016,0.8965,0.9069,0.9520,0.9474,0.9567,10000
condition,blur(std=1),pca64,g,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=1),pca64,d,False,0.6589,0.6466,0.6710,0.8476,0.8387,0.8570,10000
condition,blur(std=1),pca64,r_A,False,0.8478,0.8409,0.8550,0.9200,0.9138,0.9259,10000
condition,blur(std=1),pca256,g,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=1),pca256,d,False,0.4320,0.4153,0.4474,0.7182,0.7063,0.7303,10000
condition,blur(std=1),pca256,r_A,False,0.7548,0.7448,0.7651,0.8570,0.8493,0.8657,10000
condition,blur(std=1),nn,g,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=1),nn,d,False,0.7763,0.7674,0.7850,0.9164,0.9098,0.9223,10000
condition,blur(std=1),nn,r_A,False,0.8973,0.8922,0.9021,0.9500,0.9455,0.9545,10000
condition,blur(std=1.5),identity,g,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=1.5),identity,d,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=1.5),identity,r_A,False,0.7356,0.7245,0.7459,0.8395,0.8301,0.8483,10000
condition,blur(std=1.5),radial,g,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=1.5),radial,d,False,0.6075,0.5924,0.6221,0.8002,0.7880,0.8122,10000
condition,blur(std=1.5),radial,r_A,False,0.7627,0.7531,0.7722,0.8743,0.8662,0.8819,10000
condition,blur(std=1.5),pca16,g,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=1.5),pca16,d,False,0.7175,0.7071,0.7288,0.8511,0.8424,0.8606,10000
condition,blur(std=1.5),pca16,r_A,False,0.8372,0.8299,0.8445,0.9032,0.8968,0.9101,10000
condition,blur(std=1.5),pca64,g,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=1.5),pca64,d,False,0.4522,0.4357,0.4675,0.7118,0.7004,0.7246,10000
condition,blur(std=1.5),pca64,r_A,False,0.7576,0.7472,0.7678,0.8597,0.8519,0.8680,10000
condition,blur(std=1.5),pca256,g,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=1.5),pca256,d,False,0.3339,0.3159,0.3511,0.6422,0.6302,0.6555,10000
condition,blur(std=1.5),pca256,r_A,False,0.7335,0.7225,0.7439,0.8420,0.8331,0.8504,10000
condition,blur(std=1.5),nn,g,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=1.5),nn,d,False,0.6462,0.6347,0.6588,0.8434,0.8352,0.8515,10000
condition,blur(std=1.5),nn,r_A,False,0.8124,0.8045,0.8197,0.9133,0.9067,0.9192,10000
condition,blur(std=2),identity,g,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=2),identity,d,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=2),identity,r_A,False,0.7363,0.7264,0.7463,0.8186,0.8100,0.8275,10000
condition,blur(std=2),radial,g,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=2),radial,d,False,0.5722,0.5567,0.5880,0.7736,0.7606,0.7848,10000
condition,blur(std=2),radial,r_A,False,0.6273,0.6143,0.6403,0.8206,0.8107,0.8296,10000
condition,blur(std=2),pca16,g,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=2),pca16,d,False,0.6740,0.6625,0.6864,0.8050,0.7962,0.8152,10000
condition,blur(std=2),pca16,r_A,False,0.7870,0.7788,0.7961,0.8517,0.8441,0.8597,10000
condition,blur(std=2),pca64,g,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=2),pca64,d,False,0.4424,0.4260,0.4574,0.6803,0.6693,0.6928,10000
condition,blur(std=2),pca64,r_A,False,0.7284,0.7187,0.7383,0.8124,0.8034,0.8210,10000
condition,blur(std=2),pca256,g,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=2),pca256,d,False,0.3721,0.3547,0.3889,0.6617,0.6498,0.6741,10000
condition,blur(std=2),pca256,r_A,False,0.7331,0.7232,0.7430,0.8176,0.8089,0.8265,10000
condition,blur(std=2),nn,g,True,,,,0.5000,0.5000,0.5000,10000
condition,blur(std=2),nn,d,False,0.5986,0.5846,0.6123,0.7937,0.7847,0.8030,10000
condition,blur(std=2),nn,r_A,False,0.7576,0.7485,0.7669,0.8773,0.8700,0.8849,10000
condition,pixel_mask(drop=0.25),identity,g,True,,,,0.5000,0.5000,0.5000,10000
condition,pixel_mask(drop=0.25),identity,d,True,,,,0.5000,0.5000,0.5000,10000
condition,pixel_mask(drop=0.25),identity,r_A,True,,,,0.5000,0.5000,0.5000,10000
condition,pixel_mask(drop=0.25),radial,g,True,,,,0.5000,0.5000,0.5000,10000
condition,pixel_mask(drop=0.25),radial,d,False,0.6181,0.6036,0.6326,0.8578,0.8482,0.8670,10000
condition,pixel_mask(drop=0.25),radial,r_A,False,0.6043,0.5895,0.6196,0.8570,0.8477,0.8666,10000
condition,pixel_mask(drop=0.25),pca16,g,True,,,,0.5000,0.5000,0.5000,10000
condition,pixel_mask(drop=0.25),pca16,d,False,0.9715,0.9703,0.9727,0.9835,0.9814,0.9856,10000
condition,pixel_mask(drop=0.25),pca16,r_A,False,0.9945,0.9942,0.9947,0.9967,0.9961,0.9973,10000
condition,pixel_mask(drop=0.25),pca64,g,True,,,,0.5000,0.5000,0.5000,10000
condition,pixel_mask(drop=0.25),pca64,d,False,0.9817,0.9808,0.9824,0.9903,0.9889,0.9916,10000
condition,pixel_mask(drop=0.25),pca64,r_A,False,0.9929,0.9926,0.9932,0.9958,0.9951,0.9965,10000
condition,pixel_mask(drop=0.25),pca256,g,True,,,,0.5000,0.5000,0.5000,10000
condition,pixel_mask(drop=0.25),pca256,d,False,0.9920,0.9916,0.9923,0.9949,0.9941,0.9955,10000
condition,pixel_mask(drop=0.25),pca256,r_A,False,0.9871,0.9866,0.9876,0.9923,0.9913,0.9933,10000
condition,pixel_mask(drop=0.25),nn,g,True,,,,0.5000,0.5000,0.5000,10000
condition,pixel_mask(drop=0.25),nn,d,False,0.9257,0.9225,0.9287,0.9594,0.9559,0.9628,10000
condition,pixel_mask(drop=0.25),nn,r_A,False,0.9947,0.9945,0.9949,0.9975,0.9970,0.9980,10000
condition,pixel_mask(drop=0.5),identity,g,True,,,,0.5000,0.5000,0.5000,10000
condition,pixel_mask(drop=0.5),identity,d,True,,,,0.5000,0.5000,0.5000,10000
condition,pixel_mask(drop=0.5),identity,r_A,True,,,,0.5000,0.5000,0.5000,10000
condition,pixel_mask(drop=0.5),radial,g,True,,,,0.5000,0.5000,0.5000,10000
condition,pixel_mask(drop=0.5),radial,d,False,0.4504,0.4334,0.4685,0.8379,0.8283,0.8478,10000
condition,pixel_mask(drop=0.5),radial,r_A,False,0.4419,0.4243,0.4601,0.8347,0.8251,0.8446,10000
condition,pixel_mask(drop=0.5),pca16,g,True,,,,0.5000,0.5000,0.5000,10000
