condition,projector,g_mean,g_max,d_mean,r_A_mean,e_mean,e_min,e_in_mean,frac_improved
pixel_mask(drop=0.5),radial,2.45488e-17,1.58285e-16,0.0266232,0.0126919,0.155271,0.0318066,0.151322,0.3288
pixel_mask(drop=0.5),pca16,4.56448e-16,1.32319e-15,0.163079,0.0875189,0.175557,0.0338267,0.151322,0.0013
pixel_mask(drop=0.5),pca64,4.95083e-16,1.22591e-15,0.150456,0.078602,0.168528,0.0264611,0.151322,0.0068
pixel_mask(drop=0.5),pca256,6.07986e-16,1.29327e-15,0.114953,0.058813,0.1696,0.0257357,0.151322,0.0016
pixel_mask(drop=0.5),nn,0,0,0.154549,0.0853516,0.166712,0.0152261,0.151322,0.2327
pixel_mask(drop=0.75),identity,0,0,0,0,0.218958,0.0280175,0.218958,0
pixel_mask(drop=0.75),radial,2.36675e-17,1.55189e-16,0.0357375,0.00792314,0.214436,0.0355135,0.218958,0.6654
pixel_mask(drop=0.75),pca16,6.28211e-16,1.30831e-15,0.118132,0.0578321,0.23287,0.0386404,0.218958,0.0021
pixel_mask(drop=0.75),pca64,6.42464e-16,1.29018e-15,0.111563,0.0532688,0.230963,0.0315311,0.218958,0.004
pixel_mask(drop=0.75),pca256,7.09134e-16,1.48505e-15,0.0927934,0.0374753,0.232649,0.0305712,0.218958,0.0007
pixel_mask(drop=0.75),nn,0,0,0.111114,0.0594689,0.235969,0.0310524,0.218958,0.1751
box_mask(size=8),identity,0,0,0,0,0.0466394,0.0134369,0.0466394,0
box_mask(size=8),radial,2.35042e-17,1.52317e-16,0.0321611,0.0279567,0.0660153,0.0139588,0.0466394,0.0496
box_mask(size=8),pca16,4.74516e-16,1.18429e-15,0.116384,0.0991935,0.116413,0.030317,0.0466394,0
box_mask(size=8),pca64,5.50879e-16,1.22023e-15,0.0800085,0.0710103,0.095829,0.0217779,0.0466394,0
box_mask(size=8),pca256,6.38718e-16,1.32223e-15,0.0397106,0.036545,0.0663001,0.0131279,0.0466394,0.0022
box_mask(size=8),nn,0,0,0.100368,0.0776812,0.0821141,0.00109544,0.0466394,0.0746
box_mask(size=14),identity,0,0,0,0,0.117426,0.0119085,0.117426,0
box_mask(size=14),radial,2.41083e-17,1.57414e-16,0.0380762,0.0238094,0.126806,0.0158611,0.117426,0.2241
box_mask(size=14),pca16,5.41139e-16,1.40954e-15,0.124726,0.0904255,0.176655,0.0322943,0.117426,0
box_mask(size=14),pca64,6.23833e-16,1.2387e-15,0.0791121,0.0603027,0.159279,0.0254287,0.117426,0
box_mask(size=14),pca256,7.13282e-16,1.32371e-15,0.0365119,0.0297111,0.13396,0.018038,0.117426,0.0017
box_mask(size=14),nn,0,0,0.126187,0.0848768,0.148616,0.020018,0.117426,0.1288
