signal,setting,coverage,width,q_hat,group,n,model,model_group
g,normalized,0.9030,0.1768,1.9378,,,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,0.9988,0.1425,,noise(sigma=0.1),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,1.0000,0.1642,,noise(sigma=0.2),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,1.0000,0.1885,,noise(sigma=0.3),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,1.0000,0.2235,,noise(sigma=0.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,0.9968,0.1329,,blur(std=0.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,0.9970,0.1609,,blur(std=1),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,0.9988,0.1864,,blur(std=1.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,0.9982,0.2008,,blur(std=2),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,0.9964,0.1634,,pixel_mask(drop=0.25),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,0.6036,0.1716,,pixel_mask(drop=0.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,0.2190,0.1663,,pixel_mask(drop=0.75),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,1.0000,0.1924,,box_mask(size=8),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/condition,0.9304,0.2045,,box_mask(size=14),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/family,0.9997,0.1797,,noise,20000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/family,0.9977,0.1702,,blur,20000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/family,0.6063,0.1671,,pixel_mask,15000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized/family,0.9652,0.1985,,box_mask,10000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized,0.9003,0.1756,1.9264,,,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,1.0000,0.1947,,noise(sigma=0.1),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,1.0000,0.2030,,noise(sigma=0.2),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,0.9998,0.2030,,noise(sigma=0.3),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,1.0000,0.2034,,noise(sigma=0.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,0.9998,0.1291,,blur(std=0.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,0.9986,0.1494,,blur(std=1),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,0.9952,0.1531,,blur(std=1.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,0.9774,0.1509,,blur(std=2),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,0.9990,0.1957,,pixel_mask(drop=0.25),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,0.7164,0.1963,,pixel_mask(drop=0.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,0.3510,0.1815,,pixel_mask(drop=0.75),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,0.9996,0.1643,,box_mask(size=8),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/condition,0.6668,0.1584,,box_mask(size=14),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/family,1.0000,0.2010,,noise,20000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/family,0.9928,0.1456,,blur,20000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/family,0.6888,0.1912,,pixel_mask,15000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
d,normalized/family,0.8332,0.1614,,box_mask,10000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
r_A,normalized,0.9004,0.1771,1.9420,,,dae_lam0.1w5_seed0,dae_lam0.1w5
r_A,normalized/condition,0.9998,0.1992,,noise(sigma=0.1),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
r_A,normalized/condition,0.9998,0.1992,,noise(sigma=0.2),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
r_A,normalized/condition,0.9996,0.1992,,noise(sigma=0.3),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
r_A,normalized/condition,1.0000,0.1996,,noise(sigma=0.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
r_A,normalized/condition,0.9998,0.1507,,blur(std=0.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
r_A,normalized/condition,0.9984,0.1274,,blur(std=1),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
r_A,normalized/condition,0.9934,0.1431,,blur(std=1.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
r_A,normalized/condition,0.9872,0.1602,,blur(std=2),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
r_A,normalized/condition,0.9986,0.1950,,pixel_mask(drop=0.25),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
r_A,normalized/condition,0.7006,0.1930,,pixel_mask(drop=0.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
r_A,normalized/condition,0.2668,0.1753,,pixel_mask(drop=0.75),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
r_A,normalized/condition,0.9994,0.1852,,box_mask(size=8),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
r_A,normalized/condition,0.7624,0.1755,,box_mask(size=14),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
r_A,normalized/family,0.9998,0.1993,,noise,20000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
r_A,normalized/family,0.9947,0.1454,,blur,20000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
r_A,normalized/family,0.6553,0.1877,,pixel_mask,15000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
r_A,normalized/family,0.8809,0.1803,,box_mask,10000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
dis,normalized,0.9014,0.1760,1.9315,,,dae_lam0.1w5_seed0,dae_lam0.1w5
dis,normalized/condition,1.0000,0.1501,,noise(sigma=0.1),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
dis,normalized/condition,1.0000,0.1687,,noise(sigma=0.2),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
dis,normalized/condition,1.0000,0.1952,,noise(sigma=0.3),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
dis,normalized/condition,1.0000,0.2272,,noise(sigma=0.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
dis,normalized/condition,0.9994,0.1397,,blur(std=0.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
dis,normalized/condition,0.9988,0.1462,,blur(std=1),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
dis,normalized/condition,0.9986,0.1667,,blur(std=1.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
dis,normalized/condition,0.9980,0.1830,,blur(std=2),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
dis,normalized/condition,0.9994,0.1723,,pixel_mask(drop=0.25),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
dis,normalized/condition,0.6852,0.1766,,pixel_mask(drop=0.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
dis,normalized/condition,0.0884,0.1571,,pixel_mask(drop=0.75),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
dis,normalized/condition,0.9998,0.1942,,box_mask(size=8),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
dis,normalized/condition,0.9506,0.2109,,box_mask(size=14),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
dis,normalized/family,1.0000,0.1853,,noise,20000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
dis,normalized/family,0.9987,0.1589,,blur,20000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
dis,normalized/family,0.5910,0.1687,,pixel_mask,15000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
dis,normalized/family,0.9752,0.2026,,box_mask,10000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g2,normalized,0.9022,0.1742,1.9076,,,dae_lam0.1w5_seed0,dae_lam0.1w5
g2,normalized/condition,0.9984,0.1491,,noise(sigma=0.1),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g2,normalized/condition,0.9990,0.1587,,noise(sigma=0.2),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g2,normalized/condition,0.9998,0.1720,,noise(sigma=0.3),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g2,normalized/condition,1.0000,0.1986,,noise(sigma=0.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g2,normalized/condition,0.9974,0.1449,,blur(std=0.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g2,normalized/condition,0.9968,0.1596,,blur(std=1),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g2,normalized/condition,0.9982,0.1798,,blur(std=1.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g2,normalized/condition,0.9978,0.1930,,blur(std=2),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g2,normalized/condition,0.9830,0.1593,,pixel_mask(drop=0.25),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g2,normalized/condition,0.5352,0.1665,,pixel_mask(drop=0.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g2,normalized/condition,0.2740,0.1691,,pixel_mask(drop=0.75),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g2,normalized/condition,0.9992,0.1991,,box_mask(size=8),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g2,normalized/condition,0.9494,0.2143,,box_mask(size=14),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g2,normalized/family,0.9993,0.1696,,noise,20000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g2,normalized/family,0.9976,0.1693,,blur,20000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g2,normalized/family,0.5974,0.1650,,pixel_mask,15000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
g2,normalized/family,0.9743,0.2067,,box_mask,10000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
q,normalized,0.9013,0.1838,2.0099,,,dae_lam0.1w5_seed0,dae_lam0.1w5
q,normalized/condition,0.9996,0.1812,,noise(sigma=0.1),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
q,normalized/condition,0.9996,0.1848,,noise(sigma=0.2),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
q,normalized/condition,0.9996,0.1878,,noise(sigma=0.3),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
q,normalized/condition,0.9994,0.1902,,noise(sigma=0.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
q,normalized/condition,0.9996,0.1797,,blur(std=0.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
q,normalized/condition,0.9990,0.1834,,blur(std=1),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
q,normalized/condition,0.9984,0.1854,,blur(std=1.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
q,normalized/condition,0.9952,0.1858,,blur(std=2),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
q,normalized/condition,0.9956,0.1846,,pixel_mask(drop=0.25),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
q,normalized/condition,0.6474,0.1852,,pixel_mask(drop=0.5),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
q,normalized/condition,0.3504,0.1829,,pixel_mask(drop=0.75),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
q,normalized/condition,0.9986,0.1797,,box_mask(size=8),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
q,normalized/condition,0.7344,0.1787,,box_mask(size=14),5000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
q,normalized/family,0.9996,0.1860,,noise,20000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
q,normalized/family,0.9980,0.1836,,blur,20000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
q,normalized/family,0.6645,0.1843,,pixel_mask,15000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
q,normalized/family,0.8665,0.1792,,box_mask,10000.0000,dae_lam0.1w5_seed0,dae_lam0.1w5
-,marginal,0.9022,0.1816,0.1816,,,dae_lam0.1w5_seed0,dae_lam0.1w5
-,severity,0.8979,0.1368,1.4969,,,dae_lam0.1w5_seed0,dae_lam0.1w5
g,normalized,0.9022,0.1747,1.8968,,,dae_lam0.1w5_seed1,dae_lam0.1w5
g,normalized/condition,0.9984,0.1380,,noise(sigma=0.1),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g,normalized/condition,0.9992,0.1587,,noise(sigma=0.2),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g,normalized/condition,1.0000,0.1853,,noise(sigma=0.3),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g,normalized/condition,1.0000,0.2200,,noise(sigma=0.5),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g,normalized/condition,0.9962,0.1302,,blur(std=0.5),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g,normalized/condition,0.9958,0.1594,,blur(std=1),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g,normalized/condition,0.9980,0.1866,,blur(std=1.5),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g,normalized/condition,0.9992,0.2008,,blur(std=2),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g,normalized/condition,0.9870,0.1587,,pixel_mask(drop=0.25),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g,normalized/condition,0.5580,0.1703,,pixel_mask(drop=0.5),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g,normalized/condition,0.2810,0.1750,,pixel_mask(drop=0.75),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g,normalized/condition,0.9994,0.1871,,box_mask(size=8),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g,normalized/condition,0.9162,0.2016,,box_mask(size=14),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g,normalized/family,0.9994,0.1755,,noise,20000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g,normalized/family,0.9973,0.1692,,blur,20000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g,normalized/family,0.6087,0.1680,,pixel_mask,15000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g,normalized/family,0.9578,0.1943,,box_mask,10000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
d,normalized,0.9002,0.1761,1.9153,,,dae_lam0.1w5_seed1,dae_lam0.1w5
d,normalized/condition,1.0000,0.1957,,noise(sigma=0.1),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
d,normalized/condition,0.9998,0.2068,,noise(sigma=0.2),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
d,normalized/condition,0.9998,0.2068,,noise(sigma=0.3),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
d,normalized/condition,1.0000,0.2071,,noise(sigma=0.5),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
d,normalized/condition,1.0000,0.1257,,blur(std=0.5),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
d,normalized/condition,0.9986,0.1451,,blur(std=1),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
d,normalized/condition,0.9948,0.1512,,blur(std=1.5),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
d,normalized/condition,0.9820,0.1511,,blur(std=2),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
d,normalized/condition,0.9988,0.1973,,pixel_mask(drop=0.25),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
d,normalized/condition,0.7292,0.1982,,pixel_mask(drop=0.5),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
d,normalized/condition,0.3242,0.1811,,pixel_mask(drop=0.75),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
d,normalized/condition,0.9996,0.1635,,box_mask(size=8),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
d,normalized/condition,0.6758,0.1600,,box_mask(size=14),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
d,normalized/family,0.9999,0.2041,,noise,20000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
d,normalized/family,0.9939,0.1433,,blur,20000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
d,normalized/family,0.6841,0.1922,,pixel_mask,15000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
d,normalized/family,0.8377,0.1618,,box_mask,10000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
r_A,normalized,0.9002,0.1766,1.9193,,,dae_lam0.1w5_seed1,dae_lam0.1w5
r_A,normalized/condition,0.9998,0.1988,,noise(sigma=0.1),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
r_A,normalized/condition,0.9998,0.1988,,noise(sigma=0.2),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
r_A,normalized/condition,0.9996,0.1988,,noise(sigma=0.3),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
r_A,normalized/condition,1.0000,0.1993,,noise(sigma=0.5),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
r_A,normalized/condition,0.9998,0.1529,,blur(std=0.5),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
r_A,normalized/condition,0.9984,0.1261,,blur(std=1),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
r_A,normalized/condition,0.9928,0.1384,,blur(std=1.5),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
r_A,normalized/condition,0.9868,0.1566,,blur(std=2),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
r_A,normalized/condition,0.9974,0.1948,,pixel_mask(drop=0.25),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
r_A,normalized/condition,0.6970,0.1926,,pixel_mask(drop=0.5),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
r_A,normalized/condition,0.2548,0.1743,,pixel_mask(drop=0.75),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
r_A,normalized/condition,0.9996,0.1860,,box_mask(size=8),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
r_A,normalized/condition,0.7772,0.1778,,box_mask(size=14),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
r_A,normalized/family,0.9998,0.1990,,noise,20000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
r_A,normalized/family,0.9944,0.1435,,blur,20000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
r_A,normalized/family,0.6497,0.1872,,pixel_mask,15000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
r_A,normalized/family,0.8884,0.1819,,box_mask,10000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
dis,normalized,0.9012,0.1757,1.9113,,,dae_lam0.1w5_seed1,dae_lam0.1w5
dis,normalized/condition,1.0000,0.1496,,noise(sigma=0.1),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
dis,normalized/condition,1.0000,0.1679,,noise(sigma=0.2),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
dis,normalized/condition,1.0000,0.1943,,noise(sigma=0.3),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
dis,normalized/condition,1.0000,0.2298,,noise(sigma=0.5),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
dis,normalized/condition,0.9992,0.1393,,blur(std=0.5),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
dis,normalized/condition,0.9988,0.1456,,blur(std=1),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
dis,normalized/condition,0.9986,0.1657,,blur(std=1.5),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
dis,normalized/condition,0.9978,0.1820,,blur(std=2),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
dis,normalized/condition,0.9990,0.1714,,pixel_mask(drop=0.25),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
dis,normalized/condition,0.6736,0.1757,,pixel_mask(drop=0.5),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
dis,normalized/condition,0.0918,0.1565,,pixel_mask(drop=0.75),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
dis,normalized/condition,0.9998,0.1940,,box_mask(size=8),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
dis,normalized/condition,0.9566,0.2122,,box_mask(size=14),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
dis,normalized/family,1.0000,0.1854,,noise,20000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
dis,normalized/family,0.9986,0.1582,,blur,20000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
dis,normalized/family,0.5881,0.1679,,pixel_mask,15000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
dis,normalized/family,0.9782,0.2031,,box_mask,10000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g2,normalized,0.9032,0.1727,1.8747,,,dae_lam0.1w5_seed1,dae_lam0.1w5
g2,normalized/condition,0.9974,0.1433,,noise(sigma=0.1),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g2,normalized/condition,0.9978,0.1528,,noise(sigma=0.2),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g2,normalized/condition,0.9994,0.1669,,noise(sigma=0.3),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g2,normalized/condition,0.9998,0.2041,,noise(sigma=0.5),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g2,normalized/condition,0.9966,0.1398,,blur(std=0.5),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g2,normalized/condition,0.9958,0.1555,,blur(std=1),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g2,normalized/condition,0.9970,0.1789,,blur(std=1.5),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g2,normalized/condition,0.9976,0.1951,,blur(std=2),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g2,normalized/condition,0.9506,0.1546,,pixel_mask(drop=0.25),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g2,normalized/condition,0.5434,0.1686,,pixel_mask(drop=0.5),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g2,normalized/condition,0.3204,0.1779,,pixel_mask(drop=0.75),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g2,normalized/condition,0.9994,0.1937,,box_mask(size=8),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g2,normalized/condition,0.9458,0.2142,,box_mask(size=14),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g2,normalized/family,0.9986,0.1668,,noise,20000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g2,normalized/family,0.9968,0.1673,,blur,20000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g2,normalized/family,0.6048,0.1670,,pixel_mask,15000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
g2,normalized/family,0.9726,0.2039,,box_mask,10000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
q,normalized,0.9014,0.1789,1.9396,,,dae_lam0.1w5_seed1,dae_lam0.1w5
q,normalized/condition,0.9992,0.1808,,noise(sigma=0.1),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
q,normalized/condition,0.9990,0.1794,,noise(sigma=0.2),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
q,normalized/condition,0.9988,0.1765,,noise(sigma=0.3),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
q,normalized/condition,0.9972,0.1672,,noise(sigma=0.5),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
q,normalized/condition,0.9992,0.1816,,blur(std=0.5),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
q,normalized/condition,0.9992,0.1797,,blur(std=1),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
q,normalized/condition,0.9980,0.1777,,blur(std=1.5),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
q,normalized/condition,0.9924,0.1780,,blur(std=2),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
q,normalized/condition,0.9892,0.1799,,pixel_mask(drop=0.25),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
q,normalized/condition,0.6166,0.1801,,pixel_mask(drop=0.5),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
q,normalized/condition,0.3758,0.1802,,pixel_mask(drop=0.75),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
q,normalized/condition,0.9984,0.1818,,box_mask(size=8),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
q,normalized/condition,0.7556,0.1824,,box_mask(size=14),5000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
q,normalized/family,0.9986,0.1760,,noise,20000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
q,normalized/family,0.9972,0.1792,,blur,20000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
q,normalized/family,0.6605,0.1801,,pixel_mask,15000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
q,normalized/family,0.8770,0.1821,,box_mask,10000.0000,dae_lam0.1w5_seed1,dae_lam0.1w5
-,marginal,0.9019,0.1815,0.1815,,,dae_lam0.1w5_seed1,dae_lam0.1w5
-,severity,0.8984,0.1374,1.4903,,,dae_lam0.1w5_seed1,dae_lam0.1w5
g,normalized,0.9011,0.1715,1.8667,,,dae_lam0.1w5_seed2,dae_lam0.1w5
g,normalized/condition,0.9974,0.1331,,noise(sigma=0.1),5000.0000,dae_lam0.1w5_seed2,dae_lam0.1w5
g,normalized/condition,0.9990,0.1521,,noise(sigma=0.2),5000.0000,dae_lam0.1w5_seed2,dae_lam0.1w5
g,normalized/condition,0.9996,0.1769,,noise(sigma=0.3),5000.0000,dae_lam0.1w5_seed2,dae_lam0.1w5
g,normalized/condition,0.9998,0.2128,,noise(sigma=0.5),5000.0000,dae_lam0.1w5_seed2,dae_lam0.1w5
g,normalized/condition,0.9934,0.1261,,blur(std=0.5),5000.0000,dae_lam0.1w5_seed2,dae_lam0.1w5
g,normalized/condition,0.9940,0.1524,,blur(std=1),5000.0000,dae_lam0.1w5_seed2,dae_lam0.1w5
g,normalized/condition,0.9946,0.1813,,blur(std=1.5),5000.0000,dae_lam0.1w5_seed2,dae_lam0.1w5
g,normalized/condition,0.9984,0.1962,,blur(std=2),5000.0000,dae_lam0.1w5_seed2,dae_lam0.1w5
g,normalized/condition,0.9818,0.1557,,pixel_mask(drop=0.25),5000.0000,dae_lam0.1w5_seed2,dae_lam0.1w5
