model,model_group,signal,coverage,width,q_hat,coverage_supervised,width_supervised
dae_lam1w5_seed0,dae_lam1w5,d,0.8962,0.0244,1.7011,0.9060,0.0229
dae_lam1w5_seed0,dae_lam1w5,r_A,0.8962,0.0244,1.7011,0.9060,0.0229
dae_lam1w5_seed0,dae_lam1w5,dis,0.9270,0.0260,1.8262,0.8990,0.0235
dae_lam1w5_seed0,dae_lam1w5,g2,0.9372,0.0272,1.9127,0.9029,0.0240
dae_lam1w5_seed0,dae_lam1w5,q,0.9274,0.0294,2.0533,0.9062,0.0267
dae_lam1w5_seed1,dae_lam1w5,g,0.9230,0.0299,1.7333,0.8980,0.0275
dae_lam1w5_seed1,dae_lam1w5,d,0.8959,0.0282,1.6384,0.9053,0.0270
dae_lam1w5_seed1,dae_lam1w5,r_A,0.8959,0.0282,1.6384,0.9053,0.0270
dae_lam1w5_seed1,dae_lam1w5,dis,0.9303,0.0300,1.7480,0.9024,0.0274
dae_lam1w5_seed1,dae_lam1w5,g2,0.9253,0.0317,1.8387,0.9014,0.0291
dae_lam1w5_seed1,dae_lam1w5,q,0.9240,0.0351,2.0315,0.9092,0.0328
dae_lam1w5_seed2,dae_lam1w5,g,0.9311,0.0277,1.8050,0.8962,0.0247
dae_lam1w5_seed2,dae_lam1w5,d,0.9003,0.0265,1.7261,0.9064,0.0250
dae_lam1w5_seed2,dae_lam1w5,r_A,0.9003,0.0265,1.7261,0.9064,0.0250
dae_lam1w5_seed2,dae_lam1w5,dis,0.9283,0.0274,1.7912,0.9063,0.0253
dae_lam1w5_seed2,dae_lam1w5,g2,0.9345,0.0293,1.9156,0.8936,0.0256
dae_lam1w5_seed2,dae_lam1w5,q,0.9302,0.0313,2.0398,0.9055,0.0282
dae_lam0.1w5_seed2,dae_lam0.1w5,g,0.9400,0.0236,1.7813,0.8977,0.0203
dae_lam0.1w5_seed2,dae_lam0.1w5,d,0.8909,0.0222,1.6726,0.8996,0.0207
dae_lam0.1w5_seed2,dae_lam0.1w5,r_A,0.8909,0.0222,1.6726,0.8996,0.0207
dae_lam0.1w5_seed2,dae_lam0.1w5,dis,0.9364,0.0231,1.7459,0.8982,0.0204
dae_lam0.1w5_seed2,dae_lam0.1w5,g2,0.9423,0.0250,1.8884,0.8900,0.0210
