model,model_group,signal,coverage,width,q_hat,n_fit,n_cal,n_deploy
dae_lam1w5_seed0,dae_lam1w5,r_A,0.1844,0.0689,1.3439,5000,5000,55000
dae_lam1w5_seed0,dae_lam1w5,dis,0.4845,0.0831,1.3890,5000,5000,55000
dae_lam1w5_seed0,dae_lam1w5,g2,0.5223,0.0824,1.4929,5000,5000,55000
dae_lam1w5_seed0,dae_lam1w5,q,0.4924,0.0800,1.5658,5000,5000,55000
dae_lam1w5_seed1,dae_lam1w5,g,0.5682,0.0883,1.3910,5000,5000,55000
dae_lam1w5_seed1,dae_lam1w5,d,0.1852,0.0800,1.3345,5000,5000,55000
dae_lam1w5_seed1,dae_lam1w5,r_A,0.1827,0.0683,1.3345,5000,5000,55000
dae_lam1w5_seed1,dae_lam1w5,dis,0.5237,0.0855,1.3566,5000,5000,55000
dae_lam1w5_seed1,dae_lam1w5,g2,0.5366,0.0848,1.4399,5000,5000,55000
dae_lam1w5_seed1,dae_lam1w5,q,0.5096,0.0818,1.5454,5000,5000,55000
dae_lam1w5_seed2,dae_lam1w5,g,0.5632,0.0889,1.4024,5000,5000,55000
dae_lam1w5_seed2,dae_lam1w5,d,0.1862,0.0829,1.3390,5000,5000,55000
dae_lam1w5_seed2,dae_lam1w5,r_A,0.1829,0.0700,1.3390,5000,5000,55000
dae_lam1w5_seed2,dae_lam1w5,dis,0.5169,0.0876,1.3497,5000,5000,55000
dae_lam1w5_seed2,dae_lam1w5,g2,0.5446,0.0870,1.4644,5000,5000,55000
dae_lam1w5_seed2,dae_lam1w5,q,0.5459,0.0857,1.5763,5000,5000,55000
dae_lam0.1w5_seed2,dae_lam0.1w5,g,0.5001,0.0777,1.3590,5000,5000,55000
dae_lam0.1w5_seed2,dae_lam0.1w5,d,0.1868,0.0765,1.3450,5000,5000,55000
dae_lam0.1w5_seed2,dae_lam0.1w5,r_A,0.1846,0.0667,1.3450,5000,5000,55000
dae_lam0.1w5_seed2,dae_lam0.1w5,dis,0.4033,0.0756,1.3381,5000,5000,55000
dae_lam0.1w5_seed2,dae_lam0.1w5,g2,0.4621,0.0741,1.3941,5000,5000,55000
dae_lam0.1w5_seed2,dae_lam0.1w5,q,0.4367,0.0721,1.5765,5000,5000,55000
dae_lam1w5_outer_seed0,dae_lam1w5_outer,g,0.4543,0.0785,1.3850,5000,5000,55000
dae_lam1w5_outer_seed0,dae_lam1w5_outer,d,0.1938,0.0767,1.3211,5000,5000,55000
dae_lam1w5_outer_seed0,dae_lam1w5_outer,r_A,0.1919,0.0685,1.3211,5000,5000,55000
dae_lam1w5_outer_seed0,dae_lam1w5_outer,dis,0.3621,0.0761,1.3258,5000,5000,55000
dae_lam1w5_outer_seed0,dae_lam1w5_outer,g2,0.4573,0.0762,1.4028,5000,5000,55000
dae_lam1w5_outer_seed0,dae_lam1w5_outer,q,0.4004,0.0712,1.5473,5000,5000,55000
dae_lam1w5_outer_seed1,dae_lam1w5_outer,g,0.5010,0.0858,1.3750,5000,5000,55000
dae_lam1w5_outer_seed1,dae_lam1w5_outer,d,0.1903,0.0786,1.3207,5000,5000,55000
dae_lam1w5_outer_seed1,dae_lam1w5_outer,r_A,0.1884,0.0698,1.3207,5000,5000,55000
dae_lam1w5_outer_seed1,dae_lam1w5_outer,dis,0.3767,0.0789,1.3061,5000,5000,55000
dae_lam1w5_outer_seed1,dae_lam1w5_outer,g2,0.4717,0.0814,1.3837,5000,5000,55000
dae_lam1w5_outer_seed1,dae_lam1w5_outer,q,0.3983,0.0744,1.5405,5000,5000,55000
dae_lam1w5_outer_seed2,dae_lam1w5_outer,g,0.5257,0.0845,1.3770,5000,5000,55000
dae_lam1w5_outer_seed2,dae_lam1w5_outer,d,0.1895,0.0797,1.3207,5000,5000,55000
dae_lam1w5_outer_seed2,dae_lam1w5_outer,r_A,0.1868,0.0698,1.3207,5000,5000,55000
dae_lam1w5_outer_seed2,dae_lam1w5_outer,dis,0.3730,0.0812,1.2954,5000,5000,55000
dae_lam1w5_outer_seed2,dae_lam1w5_outer,g2,0.5120,0.0817,1.3971,5000,5000,55000
dae_lam1w5_outer_seed2,dae_lam1w5_outer,q,0.4572,0.0774,1.5470,5000,5000,55000
unet_lam0_seed0,unet_lam0,g,0.1607,0.0474,1.1804,5000,5000,55000
unet_lam0_seed0,unet_lam0,d,0.2639,0.0540,1.4217,5000,5000,55000
unet_lam0_seed0,unet_lam0,r_A,0.2639,0.0520,1.4217,5000,5000,55000
unet_lam0_seed0,unet_lam0,dis,0.2268,0.0472,1.2322,5000,5000,55000
unet_lam0_seed0,unet_lam0,g2,0.1890,0.0510,1.2770,5000,5000,55000
unet_lam0_seed0,unet_lam0,q,0.1872,0.0428,1.4956,5000,5000,55000
unet_lam0_seed1,unet_lam0,g,0.1571,0.0484,1.1813,5000,5000,55000
unet_lam0_seed1,unet_lam0,d,0.2453,0.0510,1.4190,5000,5000,55000
unet_lam0_seed1,unet_lam0,r_A,0.2453,0.0490,1.4190,5000,5000,55000
unet_lam0_seed1,unet_lam0,dis,0.2088,0.0471,1.2340,5000,5000,55000
unet_lam0_seed1,unet_lam0,g2,0.1860,0.0519,1.2928,5000,5000,55000
unet_lam0_seed1,unet_lam0,q,0.1837,0.0430,1.4888,5000,5000,55000
unet_lam0_seed2,unet_lam0,g,0.1611,0.0473,1.1806,5000,5000,55000
unet_lam0_seed2,unet_lam0,d,0.2625,0.0535,1.4199,5000,5000,55000
unet_lam0_seed2,unet_lam0,r_A,0.2625,0.0515,1.4199,5000,5000,55000
unet_lam0_seed2,unet_lam0,dis,0.2164,0.0463,1.2342,5000,5000,55000
unet_lam0_seed2,unet_lam0,g2,0.1827,0.0506,1.2758,5000,5000,55000
unet_lam0_seed2,unet_lam0,q,0.1879,0.0427,1.5091,5000,5000,55000
unet_lam1_seed0,unet_lam1,g,0.8197,0.3783,1.4228,5000,5000,55000
unet_lam1_seed0,unet_lam1,d,0.2214,0.2431,1.1525,5000,5000,55000
unet_lam1_seed0,unet_lam1,r_A,0.2214,0.2431,1.1525,5000,5000,55000
unet_lam1_seed0,unet_lam1,g2,0.9104,0.4663,1.6126,5000,5000,55000
unet_lam1w5_seed0,unet_lam1w5,g,0.3283,0.0568,1.4617,5000,5000,55000
unet_lam1w5_seed0,unet_lam1w5,d,0.3071,0.0654,1.4286,5000,5000,55000
unet_lam1w5_seed0,unet_lam1w5,r_A,0.3070,0.0626,1.4286,5000,5000,55000
unet_lam1w5_seed0,unet_lam1w5,dis,0.2206,0.0464,1.2367,5000,5000,55000
unet_lam1w5_seed0,unet_lam1w5,g2,0.3571,0.0579,1.4344,5000,5000,55000
unet_lam1w5_seed0,unet_lam1w5,q,0.3345,0.0555,1.5054,5000,5000,55000
unet_lam1w5_seed1,unet_lam1w5,g,0.3126,0.0560,1.4556,5000,5000,55000
unet_lam1w5_seed1,unet_lam1w5,d,0.3064,0.0646,1.4263,5000,5000,55000
unet_lam1w5_seed1,unet_lam1w5,r_A,0.3064,0.0619,1.4263,5000,5000,55000
unet_lam1w5_seed1,unet_lam1w5,dis,0.2119,0.0453,1.2296,5000,5000,55000
unet_lam1w5_seed1,unet_lam1w5,g2,0.3237,0.0562,1.4253,5000,5000,55000
unet_lam1w5_seed1,unet_lam1w5,q,0.2783,0.0511,1.5143,5000,5000,55000
unet_lam1w5_seed2,unet_lam1w5,g,0.3028,0.0547,1.4737,5000,5000,55000
unet_lam1w5_seed2,unet_lam1w5,d,0.3091,0.0645,1.4282,5000,5000,55000
unet_lam1w5_seed2,unet_lam1w5,r_A,0.3091,0.0618,1.4282,5000,5000,55000
unet_lam1w5_seed2,unet_lam1w5,dis,0.2306,0.0462,1.2363,5000,5000,55000
unet_lam1w5_seed2,unet_lam1w5,g2,0.3289,0.0560,1.4511,5000,5000,55000
unet_lam1w5_seed2,unet_lam1w5,q,0.2880,0.0512,1.5090,5000,5000,55000
