model_group,signal,group,coverage,width
dae_lam1w5_outer,r_A,box_mask,0.8837,0.1838
dae_lam1w5_outer,dis,noise,1.0000,0.1960
dae_lam1w5_outer,dis,blur,0.9988,0.1602
dae_lam1w5_outer,dis,pixel_mask,0.6018,0.1690
dae_lam1w5_outer,dis,box_mask,0.9593,0.2023
dae_lam1w5_outer,g2,noise,0.9988,0.1724
dae_lam1w5_outer,g2,blur,0.9965,0.1624
dae_lam1w5_outer,g2,pixel_mask,0.6008,0.1628
dae_lam1w5_outer,g2,box_mask,0.9745,0.2039
dae_lam1w5_outer,q,noise,0.9939,0.1803
dae_lam1w5_outer,q,blur,0.9982,0.1825
dae_lam1w5_outer,q,pixel_mask,0.6708,0.1829
dae_lam1w5_outer,q,box_mask,0.8717,0.1839
dae_lam1w5,g,noise,0.9987,0.1750
dae_lam1w5,g,blur,0.9971,0.1658
dae_lam1w5,g,pixel_mask,0.6023,0.1650
dae_lam1w5,g,box_mask,0.9714,0.2078
dae_lam1w5,d,noise,0.9998,0.2077
dae_lam1w5,d,blur,0.9934,0.1414
dae_lam1w5,d,pixel_mask,0.6807,0.1928
dae_lam1w5,d,box_mask,0.8437,0.1659
dae_lam1w5,r_A,noise,0.9998,0.2055
dae_lam1w5,r_A,blur,0.9950,0.1476
dae_lam1w5,r_A,pixel_mask,0.6430,0.1903
dae_lam1w5,r_A,box_mask,0.8955,0.1896
dae_lam1w5,dis,noise,0.9999,0.1932
dae_lam1w5,dis,blur,0.9996,0.1772
dae_lam1w5,dis,pixel_mask,0.6022,0.1725
dae_lam1w5,dis,box_mask,0.9618,0.2072
dae_lam1w5,g2,noise,0.9983,0.1691
dae_lam1w5,g2,blur,0.9964,0.1619
dae_lam1w5,g2,pixel_mask,0.5988,0.1624
dae_lam1w5,g2,box_mask,0.9776,0.2108
dae_lam1w5,q,noise,0.9985,0.1878
dae_lam1w5,q,blur,0.9989,0.1870
dae_lam1w5,q,pixel_mask,0.6725,0.1866
dae_lam1w5,q,box_mask,0.8598,0.1834
unet_lam0,g,noise,1.0000,0.1998
unet_lam0,g,blur,0.9920,0.1382
unet_lam0,g,pixel_mask,0.7383,0.2235
unet_lam0,g,box_mask,0.7628,0.1206
unet_lam0,d,noise,0.9993,0.1934
unet_lam0,d,blur,0.9937,0.1487
unet_lam0,d,pixel_mask,0.7010,0.1854
unet_lam0,d,box_mask,0.8208,0.1418
unet_lam0,r_A,noise,0.9453,0.1415
unet_lam0,r_A,blur,0.9989,0.1854
unet_lam0,r_A,pixel_mask,0.6987,0.1880
unet_lam0,r_A,box_mask,0.9193,0.1801
unet_lam0,dis,noise,1.0000,0.2123
unet_lam0,dis,blur,0.9978,0.1478
unet_lam0,dis,pixel_mask,0.7058,0.2064
unet_lam0,dis,box_mask,0.7956,0.1362
unet_lam0,g2,noise,1.0000,0.1870
unet_lam0,g2,blur,0.9981,0.1586
unet_lam0,g2,pixel_mask,0.7283,0.2120
unet_lam0,g2,box_mask,0.7585,0.1250
unet_lam0,q,noise,0.9859,0.1878
unet_lam0,q,blur,0.9862,0.1505
unet_lam0,q,pixel_mask,0.7065,0.1890
unet_lam0,q,box_mask,0.8514,0.1498
unet_lam1,g,noise,0.9607,0.4583
unet_lam1,g,blur,0.9562,0.4218
unet_lam1,g,pixel_mask,0.7449,0.3459
unet_lam1,g,box_mask,0.9114,0.4130
unet_lam1,d,noise,1.0000,0.5090
unet_lam1,d,blur,1.0000,0.4126
unet_lam1,d,pixel_mask,0.6661,0.3101
unet_lam1,d,box_mask,0.8660,0.3686
unet_lam1,r_A,noise,1.0000,0.5090
unet_lam1,r_A,blur,1.0000,0.4126
unet_lam1,r_A,pixel_mask,0.6661,0.3101
unet_lam1,r_A,box_mask,0.8660,0.3686
unet_lam1,g2,noise,0.9054,0.4638
unet_lam1,g2,blur,0.9054,0.4638
unet_lam1,g2,pixel_mask,0.9054,0.4638
unet_lam1,g2,box_mask,0.9054,0.4638
unet_lam1w5,g,noise,1.0000,0.1889
unet_lam1w5,g,blur,0.9996,0.1895
unet_lam1w5,g,pixel_mask,0.6734,0.1827
unet_lam1w5,g,box_mask,0.8499,0.1502
unet_lam1w5,d,noise,0.9999,0.2023
unet_lam1w5,d,blur,0.9856,0.1441
unet_lam1w5,d,pixel_mask,0.6910,0.1875
unet_lam1w5,d,box_mask,0.8482,0.1468
unet_lam1w5,r_A,noise,0.9998,0.2047
unet_lam1w5,r_A,blur,0.9983,0.1592
unet_lam1w5,r_A,pixel_mask,0.7004,0.1912
unet_lam1w5,r_A,box_mask,0.8134,0.1341
unet_lam1w5,dis,noise,1.0000,0.2077
unet_lam1w5,dis,blur,0.9866,0.1340
unet_lam1w5,dis,pixel_mask,0.7272,0.2072
unet_lam1w5,dis,box_mask,0.7956,0.1301
unet_lam1w5,g2,noise,1.0000,0.1808
unet_lam1w5,g2,blur,0.9999,0.2069
unet_lam1w5,g2,pixel_mask,0.6565,0.1790
unet_lam1w5,g2,box_mask,0.8791,0.1601
unet_lam1w5,q,noise,0.9996,0.1836
unet_lam1w5,q,blur,0.9835,0.1466
unet_lam1w5,q,pixel_mask,0.6655,0.1799
unet_lam1w5,q,box_mask,0.8955,0.1614
