condition,model_group,signal,spearman,spearman_min,spearman_max,partial,partial_min,partial_max,auroc
noise(sigma=0.3),unet_lam1,r_A,0.9808,0.9808,0.9808,0.2087,0.2087,0.2087,0.9948
noise(sigma=0.3),unet_lam1,div,,,,,,,0.5000
noise(sigma=0.3),unet_lam1,g_lin,,,,,,,0.5000
noise(sigma=0.3),unet_lam1,sure,0.9590,0.9590,0.9590,0.1195,0.1195,0.1195,0.9858
noise(sigma=0.3),unet_lam1w5,b,0.1429,0.1395,0.1487,,,,0.5281
noise(sigma=0.3),unet_lam1w5,g,0.6083,0.5604,0.6574,0.6205,0.5719,0.6760,0.8108
noise(sigma=0.3),unet_lam1w5,d,-0.3688,-0.4039,-0.3504,-0.3559,-0.3891,-0.3393,0.3113
noise(sigma=0.3),unet_lam1w5,r_A,-0.3688,-0.4039,-0.3504,-0.3559,-0.3891,-0.3393,0.3113
noise(sigma=0.3),unet_lam1w5,div,0.8841,0.8826,0.8850,0.8828,0.8820,0.8840,0.9398
noise(sigma=0.3),unet_lam1w5,g_lin,0.8178,0.8018,0.8286,0.8247,0.8186,0.8286,0.9054
noise(sigma=0.3),unet_lam1w5,sure,0.5403,0.5366,0.5462,0.5531,0.5497,0.5596,0.7929
noise(sigma=0.5),unet_lam0,b,0.3275,0.3157,0.3395,,,,0.5986
noise(sigma=0.5),unet_lam0,g,0.8541,0.8471,0.8615,0.8963,0.8920,0.8990,0.9214
noise(sigma=0.5),unet_lam0,d,-0.8382,-0.8623,-0.8178,-0.8167,-0.8444,-0.7952,0.0665
noise(sigma=0.5),unet_lam0,r_A,-0.8382,-0.8623,-0.8178,-0.8167,-0.8444,-0.7952,0.0665
noise(sigma=0.5),unet_lam0,div,0.9491,0.9437,0.9561,0.9459,0.9421,0.9521,0.9767
noise(sigma=0.5),unet_lam0,g_lin,0.6541,0.5926,0.7045,0.6749,0.5915,0.7329,0.8053
noise(sigma=0.5),unet_lam0,sure,0.6719,0.6620,0.6917,0.6547,0.6417,0.6753,0.8581
noise(sigma=0.5),unet_lam1,b,0.9899,0.9899,0.9899,,,,0.9963
noise(sigma=0.5),unet_lam1,g,,,,,,,0.5000
noise(sigma=0.5),unet_lam1,d,0.9597,0.9597,0.9597,0.2165,0.2165,0.2165,0.9879
