scope,group,model_group,signal,spearman,partial,auroc
family,pixel_mask,unet_lam1w5,d@level,-0.2526,-0.2889,0.3215
family,pixel_mask,unet_lam1w5,r_A@level,-0.2526,-0.2889,0.3215
family,box_mask,unet_lam0,b,0.1919,,0.5798
family,box_mask,unet_lam0,g,-0.0186,-0.0678,0.4444
family,box_mask,unet_lam0,d,-0.1561,-0.2537,0.3718
family,box_mask,unet_lam0,r_A,-0.1661,-0.2662,0.3687
family,box_mask,unet_lam0,b@level,-0.6705,-0.7887,0.1688
family,box_mask,unet_lam0,g@level,-0.6705,-0.7887,0.1688
family,box_mask,unet_lam0,d@level,-0.6705,-0.7887,0.1688
family,box_mask,unet_lam0,r_A@level,-0.6705,-0.7887,0.1688
family,box_mask,unet_lam1,b,0.9118,,0.9492
family,box_mask,unet_lam1,g,,,0.5000
family,box_mask,unet_lam1,d,0.9097,-0.2792,0.9482
family,box_mask,unet_lam1,r_A,0.9097,-0.2792,0.9482
family,box_mask,unet_lam1,b@level,0.0000,-0.7582,0.5000
family,box_mask,unet_lam1,g@level,,,0.5000
family,box_mask,unet_lam1,d@level,0.0000,-0.7582,0.5000
family,box_mask,unet_lam1,r_A@level,0.0000,-0.7582,0.5000
family,box_mask,unet_lam1w5,b,0.1763,,0.5777
family,box_mask,unet_lam1w5,g,0.0668,-0.0232,0.5091
family,box_mask,unet_lam1w5,d,-0.1479,-0.2136,0.4004
family,box_mask,unet_lam1w5,r_A,-0.1682,-0.2351,0.3914
family,box_mask,unet_lam1w5,b@level,-0.6792,-0.7903,0.1702
family,box_mask,unet_lam1w5,g@level,-0.6792,-0.7903,0.1702
family,box_mask,unet_lam1w5,d@level,-0.6792,-0.7903,0.1702
family,box_mask,unet_lam1w5,r_A@level,-0.6792,-0.7903,0.1702
all,all,unet_lam0,b,-0.1235,,0.4029
all,all,unet_lam0,g,0.5248,0.5630,0.7344
all,all,unet_lam0,d,0.0587,0.0859,0.5590
all,all,unet_lam0,r_A,-0.0004,0.0370,0.5056
all,all,unet_lam0,b@level,-0.5650,-0.5742,0.1734
all,all,unet_lam0,g@level,0.3979,0.3892,0.6683
all,all,unet_lam0,d@level,-0.0087,-0.0030,0.5083
all,all,unet_lam0,r_A@level,-0.0463,-0.0339,0.4827
all,all,unet_lam1,b,0.8066,,0.8913
all,all,unet_lam1,g,,,0.5000
all,all,unet_lam1,d,0.6236,-0.3194,0.8162
all,all,unet_lam1,r_A,0.6236,-0.3194,0.8162
all,all,unet_lam1,b@level,-0.0001,-0.6805,0.5000
all,all,unet_lam1,g@level,,,0.5000
all,all,unet_lam1,d@level,-0.0001,-0.6804,0.5000
all,all,unet_lam1,r_A@level,-0.0001,-0.6804,0.5000
all,all,unet_lam1w5,b,-0.1242,,0.4026
all,all,unet_lam1w5,g,0.4039,0.5211,0.6278
all,all,unet_lam1w5,d,0.0586,0.0707,0.5673
all,all,unet_lam1w5,r_A,0.0499,0.0787,0.5290
all,all,unet_lam1w5,b@level,-0.5838,-0.5951,0.1517
all,all,unet_lam1w5,g@level,0.3289,0.3477,0.5299
all,all,unet_lam1w5,d@level,-0.0814,-0.0806,0.4669
all,all,unet_lam1w5,r_A@level,-0.0308,-0.0226,0.4842
