scope,group,model_group,signal,spearman,partial,auroc
family,pixel_mask,dae_lam1w5_inner,g@level,0.5777,0.7563,0.7494
family,pixel_mask,dae_lam1w5_inner,d@level,-0.2546,-0.2901,0.3302
family,pixel_mask,dae_lam1w5_inner,r_A@level,-0.2546,-0.2901,0.3302
family,pixel_mask,dae_lam1w5,b,0.0762,,0.5188
family,pixel_mask,dae_lam1w5,g,0.5144,0.5160,0.7434
family,pixel_mask,dae_lam1w5,d,0.5789,0.9212,0.7739
family,pixel_mask,dae_lam1w5,r_A,0.5292,0.8611,0.7571
family,pixel_mask,dae_lam1w5,b@level,-0.6253,-0.9205,0.1987
family,pixel_mask,dae_lam1w5,g@level,0.6253,0.9205,0.8013
family,pixel_mask,dae_lam1w5,d@level,-0.2389,-0.2993,0.3393
family,pixel_mask,dae_lam1w5,r_A@level,-0.2389,-0.2993,0.3393
family,box_mask,dae_lam0.1w5,b,0.2283,,0.6031
family,box_mask,dae_lam0.1w5,g,0.6847,0.6896,0.8060
family,box_mask,dae_lam0.1w5,d,0.5571,0.5268,0.7250
family,box_mask,dae_lam0.1w5,r_A,0.4478,0.3963,0.6665
family,box_mask,dae_lam0.1w5,b@level,-0.6109,-0.7430,0.1875
family,box_mask,dae_lam0.1w5,g@level,0.6109,0.7430,0.8125
family,box_mask,dae_lam0.1w5,d@level,-0.6109,-0.7430,0.1875
family,box_mask,dae_lam0.1w5,r_A@level,-0.6109,-0.7430,0.1875
family,box_mask,dae_lam1w5_inner,b,0.1893,,0.6014
family,box_mask,dae_lam1w5_inner,g,0.6787,0.6817,0.8200
family,box_mask,dae_lam1w5_inner,d,0.5565,0.5477,0.7379
family,box_mask,dae_lam1w5_inner,r_A,0.5627,0.5442,0.7453
family,box_mask,dae_lam1w5_inner,b@level,-0.6240,-0.7375,0.1895
family,box_mask,dae_lam1w5_inner,g@level,0.6240,0.7375,0.8105
family,box_mask,dae_lam1w5_inner,d@level,-0.2091,-0.2413,0.3967
family,box_mask,dae_lam1w5_inner,r_A@level,-0.2091,-0.2413,0.3967
family,box_mask,dae_lam1w5,b,0.2459,,0.6121
family,box_mask,dae_lam1w5,g,0.7340,0.7332,0.8283
family,box_mask,dae_lam1w5,d,0.6495,0.6339,0.7755
family,box_mask,dae_lam1w5,r_A,0.5429,0.5008,0.7177
family,box_mask,dae_lam1w5,b@level,-0.5877,-0.7272,0.1956
family,box_mask,dae_lam1w5,g@level,0.5877,0.7272,0.8044
family,box_mask,dae_lam1w5,d@level,0.1955,0.2405,0.6021
family,box_mask,dae_lam1w5,r_A@level,-0.5877,-0.7272,0.1956
all,all,dae_lam0.1w5,b,-0.1691,,0.3770
all,all,dae_lam0.1w5,g,0.5116,0.6097,0.6720
all,all,dae_lam0.1w5,d,0.1217,0.1617,0.5825
all,all,dae_lam0.1w5,r_A,0.0169,0.0536,0.5283
all,all,dae_lam0.1w5,b@level,-0.6741,-0.6786,0.0975
all,all,dae_lam0.1w5,g@level,0.4098,0.4077,0.6184
all,all,dae_lam0.1w5,d@level,-0.0122,-0.0199,0.5028
all,all,dae_lam0.1w5,r_A@level,-0.1066,-0.1097,0.4762
all,all,dae_lam1w5_inner,b,-0.1561,,0.3735
all,all,dae_lam1w5_inner,g,0.5288,0.5404,0.7169
all,all,dae_lam1w5_inner,d,0.1095,0.1603,0.5744
all,all,dae_lam1w5_inner,r_A,-0.0018,0.0400,0.5218
all,all,dae_lam1w5_inner,b@level,-0.6740,-0.6837,0.1036
all,all,dae_lam1w5_inner,g@level,0.4634,0.4457,0.7358
all,all,dae_lam1w5_inner,d@level,-0.0514,-0.0538,0.4879
all,all,dae_lam1w5_inner,r_A@level,-0.1781,-0.1742,0.4433
all,all,dae_lam1w5,b,-0.1702,,0.3663
all,all,dae_lam1w5,g,0.4884,0.5560,0.6654
all,all,dae_lam1w5,d,0.1820,0.2287,0.6130
all,all,dae_lam1w5,r_A,0.0490,0.0899,0.5453
all,all,dae_lam1w5,b@level,-0.6519,-0.6531,0.1065
all,all,dae_lam1w5,g@level,0.3423,0.3381,0.6096
all,all,dae_lam1w5,d@level,0.0368,0.0283,0.5421
all,all,dae_lam1w5,r_A@level,-0.1180,-0.1133,0.4654
